Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
506;01/01/2005;14.2;8.8;4.3;9.2;8.6;8.2;86;73;53;0.0;8.384;32.7;15.0
506;02/01/2005;13.2;8.1;4.8;9.2;8.6;8.2;83;75;60;0.0;4.495;31.9;9.7
506;03/01/2005;11.0;6.0;-1.7;8.8;8.2;7.2;92;72;47;0.0;8.609;31.5;10.0
506;04/01/2005;6.6;-0.1;-3.4;7.7;6.8;6.1;95;90;70;0.0;5.399;14.4;2.9
506;05/01/2005;7.5;-1.1;-5.4;7.0;6.0;5.4;96;90;66;0.2;6.681;9.1;2.0
506;06/01/2005;14.1;5.0;-1.7;7.5;6.3;5.4;94;82;57;0.2;7.627;27.5;4.8
506;07/01/2005;0.8;-0.7;-2.7;6.5;6.2;5.9;97;96;93;0.4;2.156;10.2;2.7
506;08/01/2005;2.5;0.4;-0.7;6.9;6.4;6.2;97;94;87;0.2;3.548;12.1;3.5
506;09/01/2005;0.2;-1.5;-2.7;6.4;6.1;5.8;97;95;93;0.0;1.473;11.7;4.5
506;10/01/2005;-1.9;-2.7;-3.7;5.8;5.5;5.4;97;94;90;0.0;1.262;15.0;4.3
506;11/01/2005;-1.8;-3.1;-4.8;5.5;5.3;5.0;96;95;92;0.0;2.123;11.9;3.3
506;12/01/2005;3.3;-1.4;-4.2;6.0;5.4;5.0;97;94;87;0.0;4.424;9.7;3.2
506;13/01/2005;5.4;1.8;-1.7;6.0;5.6;5.0;97;94;83;0.2;3.540;17.6;3.8
506;14/01/2005;2.0;0.5;-1.3;6.3;6.0;5.7;98;97;97;0.4;2.322;13.1;3.3
506;15/01/2005;1.7;0.7;-0.2;6.0;5.9;5.7;98;97;96;0.2;1.850;15.6;5.0
506;16/01/2005;2.1;1.5;0.9;6.4;6.1;5.9;97;96;93;0.2;1.570;9.7;2.9
506;17/01/2005;1.3;0.1;-1.2;6.4;6.1;5.9;97;95;90;0.0;2.544;10.7;3.1
506;18/01/2005;11.4;2.5;-2.9;6.8;6.2;5.6;98;85;50;1.4;7.230;52.6;10.5
506;19/01/2005;12.1;8.1;2.5;7.6;6.8;6.2;88;72;63;0.4;9.411;59.1;24.2
506;20/01/2005;14.2;10.5;5.9;8.8;8.1;7.6;86;70;55;0.0;6.687;43.5;14.2
506;21/01/2005;11.5;6.6;1.9;8.2;7.7;7.2;93;76;57;0.0;8.552;38.4;11.3
506;22/01/2005;11.4;8.7;5.1;8.4;7.9;7.4;80;64;51;0.0;6.498;37.1;12.5
506;23/01/2005;12.0;7.6;1.0;8.5;7.8;7.0;88;69;53;0.0;10.121;40.2;10.9
