Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
501;01/01/2005;12.3;8.1;4.8;;;;90;79;64;0.0;8.400;31.3;11.2
501;02/01/2005;12.3;8.2;5.8;;;;86;77;64;0.0;3.850;34.6;9.8
501;03/01/2005;11.1;6.1;-1.5;;;;94;77;51;0.0;8.660;23.7;6.0
501;04/01/2005;6.8;0.4;-3.9;;;;96;91;74;0.2;5.390;9.7;1.9
501;05/01/2005;11.2;3.2;-3.2;;;;97;83;55;0.0;8.210;29.7;5.8
501;06/01/2005;12.6;7.0;1.5;;;;95;77;63;0.0;5.740;21.9;6.2
501;07/01/2005;2.5;1.2;-1.9;;;;97;96;93;0.5;2.390;14.2;4.3
501;08/01/2005;4.7;1.5;-2.9;;;;97;92;78;0.2;3.970;11.4;3.5
501;09/01/2005;1.0;-0.3;-1.4;;;;97;93;87;0.0;1.160;12.2;4.3
501;10/01/2005;-0.3;-1.5;-2.1;;;;94;90;85;0.0;1.850;13.9;5.3
501;11/01/2005;1.0;-0.7;-2.4;;;;96;93;89;0.0;2.850;14.0;3.7
501;12/01/2005;8.6;2.1;-1.6;;;;97;91;78;0.0;4.240;18.1;4.9
501;13/01/2005;13.6;6.6;2.6;;;;96;86;60;0.0;8.100;21.1;6.3
501;14/01/2005;3.9;2.7;1.5;;;;97;96;96;0.2;2.250;12.6;4.4
501;15/01/2005;2.4;1.8;0.9;;;;97;96;94;0.2;1.460;16.7;5.9
501;16/01/2005;3.3;2.5;1.7;;;;96;93;88;0.2;1.420;14.5;3.3
501;17/01/2005;5.3;1.7;-0.1;;;;97;93;73;0.0;5.390;13.0;4.7
501;18/01/2005;9.3;4.3;-2.0;;;;97;80;64;2.7;6.050;50.2;13.3
501;19/01/2005;11.3;8.0;4.9;7.4;6.1;5.4;87;80;71;3.8;1.170;42.3;17.6
501;20/01/2005;13.2;10.6;5.9;8.6;7.9;7.4;91;77;67;0.2;4.270;30.7;10.2
501;21/01/2005;11.6;7.2;3.7;8.0;7.2;6.4;92;80;62;0.0;6.690;25.3;8.2
501;22/01/2005;10.4;8.2;6.2;7.8;7.2;6.7;84;75;60;0.0;3.280;20.8;8.2
501;23/01/2005;11.8;8.3;4.1;8.1;7.6;6.8;85;73;56;0.0;6.560;31.7;9.8
501;24/01/2005;6.6;2.9;-1.8;7.7;5.8;4.9;96;71;53;0.5;4.940;38.4;15.5
501;25/01/2005;3.7;-0.6;-3.5;5.0;4.4;4.0;97;87;66;4.1;8.060;34.0;10.7
501;26/01/2005;-0.3;-2.8;-5.0;4.4;4.2;4.0;96;83;56;1.6;7.560;43.4;9.8
501;27/01/2005;0.5;-1.6;-5.7;4.0;3.6;2.5;90;66;48;0.2;11.640;41.3;14.3
501;28/01/2005;4.9;1.6;-3.5;3.7;2.7;2.1;87;76;61;0.9;7.420;31.2;10.9
501;29/01/2005;8.0;4.2;2.1;5.8;4.4;3.5;87;74;49;0.0;11.100;34.6;12.1
501;30/01/2005;4.9;2.5;-0.3;4.7;3.9;3.4;79;60;36;0.2;11.650;36.1;13.2
501;31/01/2005;8.9;5.0;1.3;5.5;4.5;3.7;82;69;46;0.0;9.180;31.7;10.3
501;01/02/2005;8.5;6.5;3.9;5.9;5.3;4.6;86;74;65;0.0;3.720;32.5;13.4
501;02/02/2005;9.3;6.0;1.4;6.4;5.7;4.9;81;64;45;0.0;11.690;34.3;12.8
501;03/02/2005;8.6;3.8;-0.1;6.0;4.9;4.0;91;78;59;0.0;10.740;31.2;9.3
501;04/02/2005;7.4;1.9;-2.7;5.5;4.5;3.5;94;77;48;0.0;6.110;16.1;3.3
501;05/02/2005;6.0;0.0;-5.6;4.8;3.7;2.6;94;82;60;0.0;8.340;14.7;2.3
501;06/02/2005;8.6;3.8;-0.5;5.5;4.5;3.7;94;86;71;5.4;5.710;29.4;6.5
501;07/02/2005;9.7;5.7;3.9;6.3;5.5;4.8;90;81;63;0.5;7.880;29.8;9.1
501;08/02/2005;10.3;5.7;-0.2;7.1;5.8;5.2;94;81;61;0.0;8.570;19.0;5.4
501;09/02/2005;12.6;4.2;-0.9;7.1;5.4;4.0;95;80;46;0.0;12.270;10.9;2.7
501;10/02/2005;14.8;5.3;-1.4;6.8;5.2;3.9;94;69;24;0.2;13.260;24.5;5.8
501;11/02/2005;16.3;7.8;0.1;7.2;5.6;4.1;86;60;28;0.0;11.710;28.4;6.1
501;12/02/2005;15.0;9.9;5.0;8.0;7.0;6.0;79;62;40;0.0;7.360;24.0;7.3
501;13/02/2005;11.7;9.5;4.0;8.0;7.5;6.6;83;68;54;3.6;4.550;74.8;18.7
501;14/02/2005;8.7;4.8;2.1;6.6;5.8;5.3;89;73;51;4.7;6.250;50.7;19.8
501;15/02/2005;5.6;3.1;0.5;5.4;5.0;4.6;91;78;61;5.4;4.050;48.3;12.8
501;16/02/2005;5.0;2.3;-0.2;4.7;4.2;3.8;88;73;58;0.2;5.790;41.3;15.0
501;17/02/2005;5.1;2.3;0.1;4.6;3.9;3.3;74;67;56;0.0;8.460;42.1;16.1
501;18/02/2005;6.4;3.1;-0.1;5.3;3.9;3.0;81;69;53;0.0;12.970;29.6;12.3
501;19/02/2005;9.2;5.6;2.7;5.9;5.0;4.2;84;76;63;2.0;5.530;45.1;15.9
501;20/02/2005;8.4;4.4;1.1;6.1;5.3;4.9;91;81;62;5.2;7.010;34.8;14.2
501;21/02/2005;4.4;1.1;-2.7;5.0;4.3;3.6;86;72;50;0.0;10.140;24.8;7.9
501;22/02/2005;0.9;-1.6;-6.5;4.0;3.5;3.0;97;94;82;1.4;4.860;21.2;5.9
501;23/02/2005;4.3;-2.7;-9.5;3.0;2.4;1.9;95;81;51;2.7;15.600;16.9;4.2
501;24/02/2005;6.7;1.2;-2.3;5.2;3.4;2.4;90;75;48;0.5;15.070;21.8;5.0
501;25/02/2005;7.7;1.0;-4.8;5.0;3.4;2.2;91;69;35;0.0;16.260;21.7;4.6
501;26/02/2005;8.0;1.9;-3.2;5.7;4.1;2.9;92;72;36;0.0;13.330;29.6;3.7
501;27/02/2005;6.7;1.4;-3.6;4.7;3.6;2.7;91;70;40;0.0;12.460;39.0;10.3
501;28/02/2005;0.3;-2.5;-6.8;3.7;2.9;2.1;72;47;20;0.0;18.040;39.3;12.0
501;01/03/2005;6.4;-2.0;-8.4;3.1;1.9;1.1;80;54;28;0.0;17.290;26.4;6.6
501;02/03/2005;9.1;-0.6;-9.0;4.0;2.2;1.1;90;64;28;0.2;17.180;22.7;3.2
501;03/03/2005;8.4;2.6;-3.9;4.4;3.0;1.9;85;65;39;0.0;12.630;45.0;12.0
501;04/03/2005;5.3;2.0;-2.0;4.1;3.2;2.5;79;64;46;0.0;10.490;39.5;13.5
501;05/03/2005;8.8;4.2;0.0;5.0;3.7;2.6;85;72;60;0.9;9.930;41.4;17.5
501;06/03/2005;7.2;4.0;1.5;5.3;4.4;3.8;88;71;50;1.4;9.000;32.3;12.4
501;07/03/2005;5.1;1.5;-1.9;5.3;3.9;2.8;78;54;30;0.0;18.710;32.9;13.9
501;08/03/2005;8.4;3.0;-1.5;5.7;3.9;2.7;77;58;38;0.0;18.210;33.2;11.9
501;09/03/2005;12.6;3.9;-1.9;6.3;4.2;2.5;81;61;31;0.0;19.020;30.8;11.5
501;10/03/2005;13.3;4.7;-0.9;6.8;4.8;3.2;84;62;30;0.0;19.050;31.5;10.8
501;11/03/2005;11.9;3.8;-2.7;7.3;5.2;3.6;87;64;33;0.0;16.640;26.2;6.7
501;12/03/2005;14.8;3.1;-6.3;7.3;5.0;2.9;92;64;26;0.0;19.340;18.8;3.3
501;13/03/2005;17.0;5.9;-4.7;7.8;5.4;3.2;92;57;21;0.0;18.810;15.9;3.7
501;14/03/2005;16.8;8.4;0.3;8.8;6.7;5.1;82;63;40;0.0;15.450;18.3;4.2
501;15/03/2005;18.8;9.5;0.9;9.8;7.6;5.7;93;73;44;0.0;15.070;21.0;5.3
501;16/03/2005;20.6;12.3;4.7;10.8;8.9;7.2;94;65;31;0.0;16.680;25.7;7.0
501;17/03/2005;22.3;12.1;3.4;11.5;9.4;7.4;87;60;26;0.0;17.690;23.4;4.6
501;18/03/2005;21.6;11.5;2.1;11.0;9.3;7.5;90;51;16;0.0;19.000;36.0;8.3
501;19/03/2005;21.7;13.0;1.7;11.3;9.5;7.7;77;43;21;0.0;18.850;31.5;9.9
501;20/03/2005;22.6;14.5;6.8;12.6;10.5;8.7;69;47;29;0.0;17.490;21.2;5.4
501;21/03/2005;18.4;14.7;10.8;12.2;11.3;10.5;84;69;57;0.7;7.550;37.1;11.5
501;22/03/2005;20.8;14.9;8.2;14.5;12.5;11.1;90;63;31;0.2;19.070;31.3;6.6
501;23/03/2005;18.4;12.4;4.0;12.7;11.7;10.3;92;73;51;0.2;12.100;45.1;12.6
501;24/03/2005;20.6;13.3;7.6;14.7;12.6;10.9;94;70;34;0.0;18.590;17.0;3.2
501;25/03/2005;18.1;12.1;7.0;12.7;11.8;11.1;91;75;46;0.9;10.320;42.8;12.0
501;26/03/2005;19.2;11.6;4.6;12.8;11.3;10.3;94;70;32;0.0;10.970;32.4;7.8
501;27/03/2005;18.0;12.6;8.1;12.7;11.3;10.2;81;57;29;0.0;17.750;46.4;13.4
501;28/03/2005;18.1;11.5;4.8;13.6;11.8;10.2;86;66;40;0.0;14.890;23.2;3.6
501;29/03/2005;19.7;13.4;7.9;13.4;12.2;11.0;86;66;38;0.5;15.530;45.9;10.3
501;30/03/2005;19.0;11.9;5.8;13.4;11.9;10.8;92;63;28;0.0;17.590;41.2;10.8
501;31/03/2005;21.6;11.9;1.5;14.7;12.0;9.6;92;61;30;0.0;21.150;26.1;6.0
501;01/04/2005;19.4;12.9;5.7;13.3;12.1;10.7;82;61;41;0.0;19.760;42.4;16.0
501;02/04/2005;12.2;10.1;8.4;12.4;11.3;10.9;90;82;65;5.2;3.350;34.2;15.7
501;03/04/2005;15.1;11.7;9.6;12.2;11.5;10.8;91;82;67;0.0;10.000;35.3;15.1
501;04/04/2005;17.5;12.3;9.7;13.8;12.1;11.2;87;77;54;0.0;9.930;22.4;7.2
501;05/04/2005;18.8;13.7;10.2;15.7;13.3;11.9;94;74;44;2.9;17.640;24.3;4.3
501;06/04/2005;20.2;15.1;9.7;15.2;13.7;12.4;85;66;48;0.0;15.770;25.6;10.7
501;07/04/2005;20.5;13.9;9.5;16.1;14.1;12.6;89;70;42;0.9;18.170;37.7;10.2
501;08/04/2005;12.6;8.0;2.5;14.0;12.4;10.1;89;68;40;1.1;18.220;52.3;17.5
501;09/04/2005;7.2;4.3;1.6;10.3;9.4;8.4;91;70;47;2.3;11.660;43.4;16.3
501;10/04/2005;8.5;6.0;3.7;9.1;8.5;8.0;81;68;57;0.0;6.230;40.1;15.2
501;11/04/2005;12.6;9.0;6.1;10.1;9.1;8.4;84;67;49;1.1;7.570;39.0;16.5
501;12/04/2005;12.2;10.3;8.6;10.4;9.8;9.3;80;73;65;0.0;3.830;26.3;11.2
501;13/04/2005;19.7;10.6;4.0;14.6;11.2;8.9;83;60;19;0.0;25.110;21.5;7.0
501;14/04/2005;17.2;8.1;1.5;12.9;11.0;9.3;90;74;43;7.0;13.500;48.7;6.0
501;15/04/2005;13.8;7.3;2.2;11.8;10.3;9.1;92;71;36;0.9;18.670;38.9;10.7
501;16/04/2005;10.3;6.7;3.6;10.4;9.3;8.5;82;71;59;1.6;13.100;45.0;15.6
501;17/04/2005;15.8;8.7;0.5;11.2;9.5;7.8;93;78;62;0.0;9.520;31.0;7.1
501;18/04/2005;18.2;11.8;3.3;13.2;11.3;10.1;94;64;25;1.1;19.940;45.8;10.6
501;19/04/2005;15.3;7.7;-0.2;12.2;10.7;9.1;95;79;45;5.4;12.970;36.6;6.6
501;20/04/2005;14.8;9.8;5.9;12.2;11.2;10.3;93;81;57;1.8;10.050;25.9;6.3
501;21/04/2005;17.1;12.7;7.8;13.0;12.0;10.9;95;82;61;0.9;9.190;31.0;7.4
501;22/04/2005;21.8;15.1;10.6;17.2;14.1;12.3;95;75;40;0.5;19.650;23.7;4.3
501;23/04/2005;21.7;14.0;8.5;16.9;14.6;12.9;92;73;40;0.5;16.940;31.8;4.4
501;24/04/2005;19.1;12.9;5.8;15.7;14.2;13.2;91;64;32;0.9;18.240;39.4;8.4
501;25/04/2005;19.5;11.3;2.8;16.6;13.6;11.4;94;63;31;0.2;26.460;28.9;6.8
501;26/04/2005;24.6;13.8;2.5;17.9;14.3;11.3;92;59;26;0.0;26.190;25.0;5.1
501;27/04/2005;24.9;15.4;4.8;18.3;15.3;12.7;93;62;30;0.0;25.110;16.8;4.1
501;28/04/2005;27.8;17.5;6.7;19.3;16.2;13.5;91;54;23;0.0;25.910;26.2;4.6
501;29/04/2005;29.6;19.3;9.3;18.4;16.5;14.4;91;48;14;0.0;24.710;32.3;7.2
501;30/04/2005;28.5;21.5;14.8;18.4;16.6;14.8;37;28;18;0.0;25.230;33.7;14.8
501;01/05/2005;28.0;21.0;11.8;18.3;16.9;15.3;63;33;23;0.0;20.020;39.6;13.3
501;02/05/2005;29.0;18.5;9.5;20.5;17.3;14.9;77;45;18;0.0;23.800;28.4;5.3
501;03/05/2005;24.0;17.0;9.0;20.0;17.1;14.9;76;47;23;0.0;27.180;37.5;8.0
501;04/05/2005;19.7;14.4;10.4;17.9;16.6;15.6;77;61;40;0.0;16.330;37.5;10.7
501;05/05/2005;15.9;12.1;9.2;15.6;14.7;14.1;73;61;42;0.0;10.140;31.7;12.7
501;06/05/2005;22.5;13.9;6.2;19.0;15.4;12.9;86;56;28;0.0;28.670;29.1;8.0
501;07/05/2005;27.7;16.3;5.7;19.9;16.2;13.3;87;47;14;0.0;28.250;25.3;5.7
501;08/05/2005;27.3;16.4;6.0;20.4;16.9;14.1;83;50;18;0.0;27.560;30.1;6.5
