Fecha;Lardero;Entrena;Hormilla;Tañida;Depositos;Ontañón;Cofín abando;RIA Blanquilla;Recueja;Cofin Ad;Vadillo
17/04/2019;;;;;;;;;;;
19/04/2019;;;;0;0;0;0;0;0;0;0
22/04/2019;;;;0;0;0;0;0;0;0;0
24/04/2019;0;0;0;0;0;0;0;1;0;1;0
26/04/2019;0;0;0;0;0;0;0;0;0;0;0
29/04/2019;1;0;0;0;2;0;0;2;0;1;0
01/05/2019;;;;;;;;;;;
03/04/2019;11;0;0;0;0;0;1;0;0;1;1
06/05/2019;4;1;0;0;0;0;1;0;0;1;0
08/05/2019;3;1;0;1;0;2;1;12;0;1;4
10/05/2019;8;1;0;1;0;0;0;11;0;1;1
13/05/2019;10;2;0;1;1;1;0;1;0;0;0
15/05/2019;;;;;;;;;;;
17/05/2019;1;0;0;0;1;0;0;3;0;1;1
20/05/2019;4;0;0;1;1;0;0;0;0;1;0
22/04/2019;7;1;0;1;0;0;0;1;0;0;0
24/05/2019;2;1;1;0;2;0;0;0;0;0;0
27/05/2019;0;0;2;1;1;0;0;0;0;1;1
29/05/2019;0;0;1;0;0;0;0;0;0;0;0
31/05/2019;1;0;0;0;1;1;1;0;0;2;2
03/06/2019;2;0;0;1;2;0;0;1;0;1;1
05/06/2019;2;1;0;3;3;0;0;0;0;0;0
07/06/2019;0;0;0;2;1;0;0;0;0;0;0
10/06/2019;1;0;0;3;3;1;1;0;0;0;0
12/06/2019;0;1;0;0;4;0;0;1;0;1;2
14/06/2019;0;0;0;1;2;1;0;0;0;2;1
17/06/2019;2;0;0;1;1;1;1;0;0;1;1
19/06/2019;1;1;0;0;0;0;0;0;0;0;0
21/06/2019;1;1;0;1;1;0;0;0;0;0;1
24/06/2019;0;0;0;1;1;0;0;1;0;1;0
26/06/2019;2;1;0;1;0;1;0;0;0;0;1
28/06/2019;1;1;0;1;1;0;0;0;0;1;0
01/07/2019;0;0;0;0;1;0;0;0;0;0;0
03/07/2019;1;0;0;0;0;0;0;0;0;0;0
05/07/2019;0;0;0;1;2;1;0;1;1;0;2
08/07/2019;0;0;0;0;0;1;0;0;0;0;1
10/07/2019;0;0;0;2;2;0;1;0;0;0;0
12/07/2019;0;0;0;1;0;0;0;0;0;0;0
15/07/2019;1;0;0;0;1;0;0;0;0;0;0
17/07/2019;3;0;0;1;1;0;0;1;0;0;0
19/07/2019;1;1;0;0;1;0;0;0;0;0;0
22/07/2019;0;2;1;0;0;0;0;0;0;0;0
24/07/2019;0;1;0;1;2;1;0;0;0;0;0
26/07/2019;1;0;0;0;1;0;0;0;0;0;0
29/07/2019;0;0;0;1;0;1;0;0;0;0;0
31/07/2019;1;1;0;1;1;0;0;0;0;;0
02/08/2019;0;0;0;0;2;1;0;0;0;0;0
05/08/2019;0;0;0;0;0;0;0;0;0;0;0
07/08/2019;0;0;0;0;0;0;0;0;0;0;0
09/08/2019;0;0;0;1;0;0;0;0;0;0;0
12/08/2019;1;0;0;0;0;;0;0;0;0;0
14/08/2019;0;0;0;0;0;;0;0;0;0;0
16/08/2019;0;0;0;0;0;;0;0;0;0;0
19/08/2019;0;0;0;0;0;;0;0;0;0;0
21/08/2019;0;0;0;0;0;;0;0;0;0;0
23/09/2019;0;0;0;0;0;;0;0;0;0;0
26/08/2019;0;0;0;0;0;;0;0;0;0;0
28/08/2019;0;0;0;0;0;;0;0;0;0;0
30/08/2019;0;0;0;0;0;;0;0;0;0;0
02/09/2019;0;0;0;0;0;;0;0;0;0;0
04/09/2019;0;0;0;0;0;;0;0;0;0;0
06/09/2019;0;0;0;0;0;;0;0;0;0;0
09/09/2019;0;0;0;0;0;;0;0;0;0;0
11/09/2019;0;0;0;0;0;;0;0;0;0;0
13/09/2019;0;0;0;0;0;;0;0;0;0;0
16/09/2019;0;0;0;0;0;;0;0;0;0;0
18/09/2019;0;0;0;0;0;;0;0;0;0;0
20/09/2019;0;0;0;0;0;;0;0;0;0;0
23/09/2019;0;0;0;0;0;;0;0;0;0;0
25/09/2019;0;0;0;0;0;;0;0;0;0;0
27/09/2019;0;0;0;0;0;;0;0;0;0;0
30/09/2019;0;0;0;0;0;;0;0;0;0;0
