Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
517;06/06/2007;27.9;19.4;10.9;27.3;22.2;17.3;95;60;23;0.0;31.790;23.9;5.5
517;07/06/2007;30.8;22.7;13.7;29.7;24.9;20.2;90;56;23;0.0;29.970;14.7;3.6
517;08/06/2007;32.8;24.6;15.5;30.9;26.5;22.2;89;52;22;0.0;27.610;30.8;4.4
517;09/06/2007;32.2;23.6;18.4;31.2;26.7;23.9;93;61;31;5.5;23.400;43.7;6.8
517;10/06/2007;26.6;20.2;15.3;24.8;23.3;21.7;97;76;45;0.4;15.210;24.8;4.9
517;11/06/2007;28.7;21.5;13.7;29.1;24.1;19.5;95;60;26;0.0;27.760;25.5;5.1
517;12/06/2007;31.7;22.2;14.7;31.2;25.7;21.4;93;64;25;6.5;29.530;50.2;4.6
517;13/06/2007;30.0;23.0;16.3;29.6;25.5;21.7;95;61;25;0.0;26.700;22.3;4.7
517;14/06/2007;24.9;20.6;17.0;25.4;23.7;21.6;87;61;41;2.6;11.590;37.0;7.0
517;15/06/2007;24.9;19.3;12.4;27.4;23.1;19.1;95;56;29;0.0;27.220;20.8;4.2
517;16/06/2007;24.9;18.6;12.8;25.0;22.7;20.2;96;70;35;1.6;13.900;27.5;5.5
517;17/06/2007;25.4;20.2;16.2;23.1;21.6;20.5;96;74;38;3.0;14.670;29.7;9.7
517;18/06/2007;28.5;22.7;14.4;26.5;22.4;18.6;84;55;33;0.6;23.580;33.4;11.4
517;19/06/2007;30.6;23.6;16.4;28.1;24.1;21.0;72;48;17;0.0;25.990;43.4;14.1
517;20/06/2007;26.6;18.7;12.3;28.0;23.9;20.4;92;63;32;0.0;21.430;32.9;5.5
517;21/06/2007;24.1;17.8;10.9;26.4;23.1;19.7;96;62;29;0.0;22.780;26.7;6.2
517;22/06/2007;26.3;17.5;9.9;28.1;23.6;19.3;92;59;27;0.0;29.970;32.2;7.0
