Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
201;08/07/2017;27.0;19.9;15.6;24.8;22.9;21.6;95;78;50;7.4;17.538;33.2;5.3
201;09/07/2017;29.9;22.4;16.6;26.3;23.4;20.9;94;68;37;2.0;28.830;31.0;6.1
201;10/07/2017;21.7;18.5;16.4;23.6;22.3;21.6;89;79;65;0.0;8.307;20.1;5.0
201;11/07/2017;30.0;21.3;12.3;26.0;23.0;20.1;95;69;38;0.0;29.410;15.5;3.0
201;12/07/2017;31.2;22.7;13.8;26.9;24.0;21.3;94;62;38;0.0;30.031;19.4;4.1
201;13/07/2017;31.0;21.7;15.4;27.4;24.6;22.2;90;65;36;0.0;30.119;31.4;7.5
201;14/07/2017;26.8;19.7;15.3;27.2;24.8;22.8;81;62;37;0.0;29.244;28.2;8.7
201;15/07/2017;29.8;20.9;14.1;27.8;25.0;22.4;81;57;29;0.0;30.957;22.6;5.4
201;16/07/2017;32.3;23.2;12.1;28.6;25.8;23.0;94;59;29;0.0;29.819;18.7;4.1
201;17/07/2017;33.8;26.9;18.9;28.7;26.6;24.7;89;55;31;0.2;28.007;39.9;9.9
201;18/07/2017;33.4;24.3;16.0;28.8;26.6;24.6;88;61;30;0.2;21.168;34.9;5.5
201;19/07/2017;31.7;24.5;18.0;29.0;26.7;24.6;82;56;22;0.0;22.626;30.0;4.1
201;20/07/2017;25.3;18.9;15.3;27.6;26.0;25.0;81;71;48;0.0;14.268;24.3;5.7
201;21/07/2017;26.7;18.9;13.7;27.8;25.4;23.6;85;66;42;0.0;23.259;20.8;5.8
201;22/07/2017;30.4;19.6;10.7;28.4;25.7;23.2;90;61;24;0.0;26.746;27.9;4.5
201;23/07/2017;28.3;20.6;15.9;29.1;26.5;24.4;80;59;31;0.0;26.826;20.5;5.8
201;24/07/2017;25.3;20.2;16.6;28.6;26.5;24.9;77;64;46;0.0;23.517;34.2;7.9
201;25/07/2017;22.4;17.2;11.8;26.6;25.4;24.4;90;66;46;0.0;16.232;23.3;6.5
201;26/07/2017;29.8;19.8;10.3;28.2;25.3;22.6;92;62;30;0.0;27.577;21.2;3.9
201;27/07/2017;33.6;22.6;11.8;29.6;26.5;23.5;90;57;19;0.0;29.052;23.3;3.2
201;28/07/2017;32.9;23.2;14.1;30.2;27.3;24.6;95;60;28;0.0;29.028;22.6;3.7
201;29/07/2017;35.5;24.6;13.9;30.7;27.8;25.0;86;46;17;0.0;28.450;14.8;2.2
201;30/07/2017;36.2;24.3;16.7;31.2;28.3;25.9;79;53;14;0.0;26.761;33.5;6.4
201;31/07/2017;30.4;21.3;16.5;30.5;28.1;26.1;79;64;39;0.0;26.294;27.9;6.3
201;01/08/2017;30.4;21.5;14.9;30.5;27.9;25.6;87;65;37;0.0;26.849;25.4;5.6
201;02/08/2017;32.3;23.9;14.3;31.0;28.1;25.5;92;61;30;0.0;26.868;18.7;3.5
201;03/08/2017;36.0;25.7;16.0;31.4;28.6;26.1;90;54;17;0.0;28.052;25.4;4.9
201;04/08/2017;34.8;25.8;18.3;32.0;29.2;26.6;83;57;29;0.0;27.812;25.0;4.4
201;05/08/2017;24.3;20.7;16.8;29.3;27.6;26.2;85;74;63;0.0;7.294;28.2;5.6
201;06/08/2017;27.0;19.5;14.7;29.4;26.8;24.8;93;65;36;0.2;24.538;20.1;4.6
201;07/08/2017;30.5;21.0;14.2;29.8;27.3;24.8;89;68;43;0.0;24.231;33.2;4.3
201;08/08/2017;22.8;17.4;14.2;28.1;26.6;25.4;90;63;38;0.0;18.455;23.6;6.2
201;09/08/2017;19.3;15.4;11.4;25.9;25.0;23.7;79;62;42;0.0;11.828;30.0;5.7
201;10/08/2017;20.8;15.7;11.6;26.1;24.1;22.6;82;62;46;0.0;20.470;27.2;7.6
201;11/08/2017;23.8;16.7;11.3;27.4;24.5;22.2;81;57;34;0.0;27.367;24.0;4.4
201;12/08/2017;30.1;18.6;6.9;28.0;24.9;22.0;89;51;12;0.0;26.942;22.2;3.2
201;13/08/2017;30.4;20.9;10.3;28.9;25.8;23.0;87;52;23;0.0;26.929;15.9;3.1
201;14/08/2017;32.2;22.5;11.6;28.6;26.1;23.8;91;58;30;1.0;21.965;47.3;5.9
201;15/08/2017;29.3;21.9;17.4;28.1;26.0;24.1;82;66;40;0.0;20.361;20.1;5.2
201;16/08/2017;30.1;21.8;16.2;29.2;26.5;24.6;83;62;33;0.0;24.441;21.2;5.0
201;17/08/2017;33.2;22.7;11.6;29.8;26.7;23.9;87;53;23;0.0;25.912;17.3;2.8
201;18/08/2017;28.0;20.7;15.3;28.5;26.6;24.8;90;68;44;0.0;20.538;32.1;5.5
201;19/08/2017;27.3;19.8;14.7;28.6;26.2;24.5;88;63;36;0.0;20.328;24.0;3.7
201;20/08/2017;29.8;19.3;9.6;28.9;25.9;23.3;86;52;9;0.0;26.542;20.5;3.7
201;21/08/2017;32.7;21.6;8.9;29.1;26.1;23.3;89;47;21;0.0;26.605;23.6;4.6
201;22/08/2017;33.5;24.1;13.5;29.8;26.9;24.2;87;55;31;0.0;23.747;25.4;4.1
201;23/08/2017;30.2;23.8;15.6;28.8;27.1;25.1;81;54;33;0.2;17.693;21.9;4.3
201;24/08/2017;31.2;22.8;14.4;29.1;26.9;24.6;94;68;39;0.0;22.260;29.3;5.8
201;25/08/2017;32.4;23.2;13.7;29.8;27.1;24.6;94;64;32;0.0;23.755;21.5;3.8
201;26/08/2017;31.1;23.5;13.8;28.4;26.8;24.8;95;60;20;0.0;15.377;23.3;2.9
201;27/08/2017;24.5;19.9;16.8;26.8;25.3;23.8;96;79;48;9.4;7.238;28.6;4.6
201;28/08/2017;22.8;18.5;16.4;24.5;23.4;22.3;97;89;71;10.6;6.957;22.9;3.6
201;29/08/2017;24.8;18.6;14.5;25.6;22.9;21.1;98;83;59;0.0;15.838;19.1;3.5
201;30/08/2017;24.7;18.2;13.1;25.1;22.8;20.9;97;84;57;21.2;14.897;24.0;3.1
201;31/08/2017;21.4;16.1;11.8;23.5;21.7;20.2;95;76;50;2.0;14.957;18.3;3.8
201;01/09/2017;22.4;15.3;8.9;23.3;21.0;18.9;95;71;35;0.0;20.999;25.0;4.7
201;02/09/2017;23.8;16.4;10.2;23.8;21.1;18.8;89;63;28;0.0;24.332;20.1;3.8
201;03/09/2017;25.9;18.3;10.7;23.5;21.4;19.4;95;67;31;0.0;16.132;13.8;2.0
201;04/09/2017;27.8;20.2;13.8;25.1;22.4;20.1;92;68;36;0.0;21.345;14.8;2.7
201;05/09/2017;30.5;20.3;12.4;25.6;22.8;20.4;95;71;35;0.0;23.092;24.3;3.9
201;06/09/2017;21.9;17.9;13.5;23.1;22.2;21.2;87;73;55;0.0;10.048;19.4;5.7
201;07/09/2017;23.1;16.2;10.9;23.2;21.2;19.5;91;67;42;0.0;20.973;25.0;5.0
201;08/09/2017;26.8;16.1;7.1;23.5;21.0;18.8;96;69;28;0.0;21.617;14.5;2.1
201;09/09/2017;19.2;14.7;11.4;21.0;20.2;19.1;95;77;51;4.4;10.076;27.9;5.7
201;10/09/2017;21.3;16.0;11.1;21.3;19.4;17.8;91;64;37;0.2;19.691;36.0;7.9
201;11/09/2017;21.3;17.5;14.3;21.0;19.9;19.0;94;75;59;0.0;9.596;25.4;4.5
201;12/09/2017;25.0;17.3;11.6;22.5;20.3;18.7;92;68;33;0.0;20.135;20.5;3.5
201;13/09/2017;27.4;18.1;9.1;23.1;20.6;18.3;96;70;37;0.0;21.697;15.2;2.3
201;14/09/2017;17.7;14.8;12.0;20.7;19.7;19.0;95;76;55;0.2;5.799;29.6;4.8
201;15/09/2017;17.8;12.7;8.9;19.9;18.8;17.6;82;66;43;0.0;13.647;28.2;6.3
201;16/09/2017;18.5;10.6;3.7;19.8;18.0;16.4;95;71;37;0.0;16.942;25.8;3.6
201;17/09/2017;21.5;12.2;3.1;20.2;18.1;16.1;96;67;29;0.0;18.820;19.1;2.7
201;18/09/2017;20.2;14.3;9.9;19.5;18.3;17.2;96;79;50;3.0;11.589;24.3;3.8
201;19/09/2017;20.4;13.9;5.9;20.3;18.3;16.7;94;71;37;0.2;19.753;21.9;4.0
201;20/09/2017;26.4;13.2;2.8;20.5;17.8;15.5;96;66;16;0.0;20.479;13.1;2.1
201;21/09/2017;24.5;15.2;4.9;20.5;18.2;16.1;94;64;30;0.0;18.288;18.0;3.6
201;22/09/2017;21.3;16.4;10.1;20.9;19.1;18.0;92;74;54;0.0;15.647;27.5;5.2
201;23/09/2017;24.1;15.0;7.3;20.6;18.7;17.3;96;82;52;0.0;13.859;18.3;2.8
201;24/09/2017;28.1;17.7;8.3;21.8;19.4;17.2;96;68;30;0.0;18.693;13.4;2.2
201;25/09/2017;23.0;17.6;13.8;21.3;19.8;18.6;80;65;42;0.0;14.291;26.1;6.0
201;26/09/2017;24.8;16.1;9.1;22.0;19.8;18.0;93;67;29;0.0;17.700;14.8;2.3
201;27/09/2017;24.9;14.9;5.5;21.8;19.5;17.4;94;72;41;0.0;19.467;18.7;3.5
201;28/09/2017;25.1;16.1;7.2;22.0;19.7;17.6;96;77;50;0.0;18.504;18.7;3.5
201;29/09/2017;26.2;16.9;7.9;22.4;20.1;17.9;96;74;41;0.0;16.466;14.8;2.1
201;30/09/2017;20.2;16.6;12.1;20.4;19.6;19.1;93;79;65;0.0;4.673;15.5;3.3
201;01/10/2017;20.9;16.4;12.2;20.0;19.1;18.4;94;79;61;0.0;5.952;22.2;4.2
201;02/10/2017;25.5;18.6;11.8;21.9;19.9;18.5;95;78;52;0.0;13.677;21.2;3.8
201;03/10/2017;26.1;16.8;10.5;22.1;19.8;18.1;96;76;42;0.0;14.997;20.5;2.8
201;04/10/2017;25.4;16.2;8.6;21.9;19.7;17.8;96;77;48;0.0;15.944;19.1;2.9
201;05/10/2017;27.1;17.1;7.9;22.4;19.9;17.8;96;72;41;0.0;17.440;25.0;4.0
201;06/10/2017;21.5;15.4;10.4;21.0;19.5;18.5;87;72;49;0.0;12.024;29.6;7.5
201;07/10/2017;23.8;13.1;4.7;21.0;18.8;17.1;85;59;12;0.0;18.253;28.2;5.2
201;08/10/2017;25.8;13.3;2.2;20.6;18.1;15.9;89;51;8;0.0;18.162;21.2;3.4
201;09/10/2017;26.3;13.5;3.2;20.8;18.1;15.9;88;55;17;0.0;17.433;16.6;2.8
201;10/10/2017;26.7;13.4;3.5;20.9;18.2;15.9;91;57;17;0.0;17.063;16.9;2.4
201;11/10/2017;23.8;12.5;2.8;20.4;18.0;15.9;91;66;37;0.0;15.616;13.8;2.3
201;12/10/2017;24.6;13.5;4.3;20.2;17.9;15.9;93;68;33;0.0;15.490;15.9;2.8
201;13/10/2017;24.7;14.8;6.6;20.5;18.2;16.3;92;72;46;0.0;15.080;18.7;3.2
201;14/10/2017;22.7;13.9;7.1;19.2;17.7;16.5;97;86;61;0.0;7.314;17.6;2.6
201;15/10/2017;23.2;16.4;9.2;19.9;18.1;16.8;96;80;58;0.0;11.064;26.1;5.0
201;16/10/2017;23.6;17.1;11.0;20.4;18.7;17.8;94;78;51;0.0;11.146;26.5;5.4
201;17/10/2017;23.8;16.1;8.5;19.9;18.4;17.0;96;74;38;0.4;11.234;29.6;4.3
201;18/10/2017;15.6;12.8;9.8;18.6;17.6;16.4;97;91;73;13.6;3.917;24.7;2.4
201;19/10/2017;18.3;12.3;7.9;18.8;16.7;15.5;96;82;51;3.8;14.094;27.2;3.0
201;20/10/2017;22.4;14.7;9.2;19.1;16.6;14.8;96;76;50;0.0;13.699;15.2;2.4
201;21/10/2017;15.0;11.9;8.4;16.5;15.8;15.0;97;89;72;2.2;3.765;15.5;1.9
201;22/10/2017;15.8;11.2;5.1;16.6;15.4;14.2;94;76;52;0.0;10.523;27.5;4.1
201;23/10/2017;22.6;10.8;2.2;16.6;14.3;12.3;97;68;18;0.0;14.431;17.3;3.0
201;24/10/2017;25.8;12.7;4.3;17.1;14.5;12.4;93;66;19;0.0;14.282;11.6;2.1
201;25/10/2017;23.0;12.4;4.9;16.9;14.7;12.8;94;71;33;0.0;14.014;13.1;1.9
201;26/10/2017;27.4;14.4;4.9;17.1;14.8;12.9;96;66;26;0.0;13.756;12.3;1.9
