Fecha;Hilillos;Recueja;Cofin;Medialijo;Campo Bajo;Muga;Secano
07/04/2010;0;0;0;0;0;0;0
09/04/2010;0;0;0;0;0;0;0
12/04/2010;0;0;0;0;0;0;0
14/04/2010;0;0;0;0;0;0;0
16/04/2010;0;0;0;0;0;0;0
19/04/2010;0;0;0;0;0;0;0
21/04/2010;0;0;0;0;0;0;0
23/04/2010;0;0;0;0;0;0;0
26/04/2010;0;0;0;0;0;0;0
28/04/2010;0;0;0;0;0;0;0
30/04/2010;0;0;0;0;0;2;1
03/05/2010;0;0;0;0;0;0;0
05/05/2010;0;0;0;0;0;0;0
07/05/2010;0;0;0;0;0;0;0
10/05/2010;0;0;0;0;0;0;0
12/05/2010;0;0;0;1;0;0;0
14/05/2010;0;0;0;0;0;0;0
17/05/2010;0;0;0;0;0;0;0
19/05/2010;0;0;0;0;0;0;1
21/05/2010;0;0;0;1;0;1;0
24/05/2010;0;0;0;3;0;0;0
26/05/2010;0;0;4;2;0;1;0
28/05/2010;0;1;1;1;0;2;0
29/05/2009;0;0;2;0;0;1;0
31/05/2010;0;0;1;0;0;2;0
02/06/2010;0;1;1;2;1;0;0
04/06/2010;0;0;0;1;0;0;0
07/06/2010;0;1;1;1;0;0;0
14/06/2010;0;0;0;4;0;0;0
16/06/2010;0;0;0;1;0;0;0
18/06/2010;0;0;0;0;0;0;0
21/06/2010;0;0;0;0;0;0;0
23/06/2010;0;0;0;0;0;0;0
25/06/2010;0;0;0;0;0;0;0
28/06/2010;1;0;0;0;0;0;0
30/06/2010;0;0;1;0;0;0;0
02/07/2010;0;0;0;0;0;0;0
05/07/2010;0;0;0;0;0;1;0
07/07/2010;0;0;0;0;0;1;0
09/07/2010;0;1;0;0;0;0;0
12/07/2010;0;0;0;0;0;0;0
14/07/2010;0;0;0;0;0;0;0
16/07/2010;0;0;0;0;0;0;0
19/07/2010;0;0;0;0;0;0;0
21/07/2010;0;0;1;1;0;0;0
23/07/2010;0;0;0;0;0;0;0
26/07/2010;1;0;0;0;0;0;0
28/07/2010;0;0;0;1;0;0;0
30/07/2010;1;1;0;2;0;0;0
02/08/2010;0;0;0;0;0;0;1
04/08/2010;;;;;;;
06/08/2010;0;1;0;0;0;0;1
09/08/2010;1;0;0;0;0;0;0
11/08/2010;0;0;0;0;0;0;1
13/08/2010;0;1;1;1;0;0;3
16/08/2010;0;2;0;2;0;1;0
18/08/2010;0;0;0;1;0;0;0
20/08/2010;0;0;0;0;0;0;0
23/08/2010;0;0;0;0;0;0;0
25/08/2010;0;0;0;0;0;0;0
27/08/2010;0;0;0;0;0;0;0
30/08/2010;0;0;0;0;0;0;0
01/09/2010;0;0;1;0;0;0;0
03/09/2010;0;0;1;2;0;0;0
06/09/2010;0;0;1;0;0;0;0
08/09/2010;0;0;0;0;0;0;0
10/09/2010;0;0;0;0;0;0;0
13/09/2010;0;0;0;0;0;0;0
15/09/2010;0;0;0;0;0;0;0
17/09/2010;0;0;0;0;0;0;0
20/09/2010;0;0;0;0;0;0;0
22/09/2010;0;0;0;0;0;0;0
