Fecha;Hilillos;Vadillo;Recueja;Cofin;Medialijo;Muga;Secano
05/04/2006;0;0;0;0;0;0;0
07/04/2006;0;0;0;0;0;0;0
10/04/2006;0;0;0;0;0;0;0
12/04/2003;0;0;0;0;0;0;0
14/04/2006;0;0;0;0;0;0;0
17/04/2006;0;0;0;0;0;0;1
19/04/2006;0;0;0;0;0;0;0
21/04/2006;2;0;0;0;0;0;1
24/04/2006;2;1;0;1;0;0;8
26/04/2006;1;0;2;1;0;10;1
28/04/2006;0;0;0;0;0;0;2
01/05/2006;8;4;6;2;1;7;10
03/05/2006;10;2;5;3;1;3;6
05/05/2006;9;2;3;4;1;2;11
08/05/2006;3;0;2;2;2;3;2
10/05/2006;1;1;0;3;0;0;1
12/05/2006;0;0;2;1;2;2;1
15/05/2006;2;1;4;3;0;4;10
17/05/2006;3;1;2;6;1;3;8
19/05/2006;5;0;2;3;0;3;7
22/05/2006;1;1;0;0;1;5;4
24/05/2006;0;0;0;0;0;0;0
26/04/2006;3;1;1;2;2;0;4
29/05/2006;1;0;0;2;1;1;2
31/05/2006;0;0;0;0;0;1;0
02/06/2006;0;0;1;0;0;0;1
05/06/2006;1;1;3;0;0;2;3
07/06/2006;2;1;2;1;2;1;2
09/06/2006;1;2;5;3;1;0;9
12/06/2006;1;2;5;5;0;0;13
14/06/2006;0;2;6;2;2;0;14
16/06/2006;1;2;4;2;0;1;12
19/06/2006;1;2;0;2;0;1;6
21/06/2006;2;3;0;2;1;2;7
23/06/2006;0;5;1;2;0;0;2
26/06/2006;3;0;6;1;0;10;5
28/06/2006;2;1;7;1;0;3;2
30/06/2006;1;2;0;0;0;0;1
03/07/2006;3;2;1;1;0;7;5
05/07/2006;1;1;3;1;0;1;3
07/07/2006;3;3;3;3;1;5;3
10/07/2006;4;3;1;2;2;4;4
12/07/2006;4;4;2;2;2;5;4
14/07/2006;5;3;1;1;0;2;3
17/07/2006;1;2;2;3;0;1;2
19/07/2006;2;2;3;1;0;3;3
21/07/2006;1;3;5;0;1;4;4
24/07/2006;1;4;4;1;3;8;8
26/07/2006;3;4;3;2;2;4;5
28/07/2006;2;2;0;0;0;3;0
31/07/2006;0;3;1;2;2;3;1
02/08/2006;3;3;3;1;3;1;2
04/08/2006;0;1;1;0;3;3;1
07/08/2006;0;1;0;0;0;0;0
09/08/2006;1;0;1;0;1;1;0
11/08/2006;0;1;0;1;0;2;1
14/08/2006;;;;;;;
16/08/2006;0;2;1;1;0;1;0
18/08/2006;0;2;0;2;0;0;1
21/08/2006;1;3;1;1;1;2;0
23/08/2006;1;3;3;3;1;1;1
25/08/2006;2;6;4;4;1;4;4
28/08/2006;4;3;3;2;0;4;10
30/08/2006;2;4;5;4;1;5;18
01/09/2006;5;10;6;3;0;2;6
04/09/2006;1;2;4;2;0;3;5
06/09/2006;1;3;3;1;1;4;2
08/09/2006;0;0;0;0;0;1;0
11/09/2006;1;3;4;0;0;0;7
13/09/2006;0;0;1;1;0;2;3
15/09/2006;1;2;2;1;1;2;5
18/09/2006;1;2;1;0;0;2;3
20/09/2006;0;1;0;0;0;1;1
22/09/2006;1;0;0;1;0;2;0
25/09/2006;1;1;1;0;0;0;1
27/09/2006;0;0;0;1;0;1;0
29/09/2006;1;0;0;0;0;0;0
02/10/2006;0;1;1;0;0;1;0
04/10/2006;0;0;0;0;0;0;0
06/10/2006;0;0;0;0;0;0;0
09/10/2006;;;;;;;
