Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
523;25/08/2022;25.6;21.0;17.6;26.6;24.2;22.3;98;79;54;0.4;12.092;32.8;9.5
523;26/08/2022;26.5;20.2;14.8;30.0;25.2;22.3;90;71;42;0.0;19.385;27.1;8.5
523;27/08/2022;30.1;20.7;12.8;30.7;25.3;21.0;98;65;30;0.0;24.609;21.2;6.0
523;28/08/2022;32.3;23.0;17.3;30.3;25.8;22.9;89;64;30;2.8;21.045;57.5;11.3
523;29/08/2022;25.7;22.1;19.5;26.1;23.8;22.1;86;69;44;0.4;13.147;39.0;10.0
523;30/08/2022;31.3;22.2;15.0;30.4;25.0;20.7;97;71;32;0.0;23.869;26.7;6.8
523;31/08/2022;28.2;21.5;16.6;30.6;26.2;23.3;93;74;44;0.0;23.069;28.2;10.4
523;01/09/2022;30.3;21.2;15.5;31.3;26.3;23.0;96;71;29;0.0;22.160;31.7;7.8
523;02/09/2022;27.5;19.6;14.0;30.2;25.8;22.2;94;70;40;0.0;22.375;39.2;10.6
523;03/09/2022;27.5;20.1;15.5;31.0;26.3;23.1;89;66;36;0.0;22.057;24.9;6.9
523;04/09/2022;30.1;21.2;12.6;30.8;25.8;21.7;93;51;18;0.0;23.527;31.0;8.0
523;05/09/2022;31.3;22.2;14.4;30.8;26.0;22.0;55;36;12;0.0;23.681;33.7;8.3
523;06/09/2022;29.5;22.1;15.4;30.1;26.1;22.6;71;45;22;0.0;23.352;46.5;11.7
523;07/09/2022;25.1;18.8;13.8;26.2;24.2;22.0;74;48;27;0.0;12.419;39.9;10.4
523;08/09/2022;27.8;20.5;15.3;28.1;24.3;21.4;81;54;30;0.0;20.363;40.3;11.7
523;09/09/2022;27.8;19.6;13.9;29.4;24.9;21.5;92;65;27;0.0;21.706;28.9;9.1
523;10/09/2022;30.2;21.0;12.5;29.6;25.0;21.1;91;58;27;0.0;22.273;23.8;6.3
523;11/09/2022;31.4;24.1;16.6;29.5;25.6;22.6;84;58;39;0.0;19.862;36.4;11.2
523;12/09/2022;30.1;23.3;19.1;27.5;25.3;23.2;93;70;39;3.2;12.647;54.6;13.8
523;13/09/2022;27.8;22.7;18.0;24.9;23.1;21.6;95;58;28;1.0;7.933;49.9;10.2
523;14/09/2022;25.2;20.1;15.7;24.3;22.6;20.6;100;68;38;0.0;11.828;28.1;7.2
523;15/09/2022;26.6;19.8;16.1;26.3;22.9;20.8;89;71;42;0.0;12.688;27.0;9.6
523;16/09/2022;22.4;17.7;14.0;26.3;22.8;20.5;94;73;46;0.0;14.162;30.0;10.2
523;17/09/2022;22.8;16.5;11.2;26.8;22.7;20.1;83;60;28;0.0;20.821;28.3;8.8
523;18/09/2022;24.9;16.6;8.3;25.7;21.6;18.0;91;62;37;0.0;20.585;27.3;8.1
523;19/09/2022;27.7;18.8;11.9;27.2;22.7;19.2;81;54;28;0.0;18.896;27.5;9.5
523;20/09/2022;25.4;16.8;10.2;26.7;22.1;18.5;74;47;16;0.0;21.272;33.1;11.7
523;21/09/2022;23.9;15.1;8.4;25.8;21.2;17.6;83;59;26;0.0;20.712;29.5;12.6
523;22/09/2022;24.8;16.1;8.1;25.7;21.0;17.2;85;53;25;0.0;20.503;24.1;7.3
523;23/09/2022;20.9;16.3;12.5;23.3;20.9;19.2;85;76;63;0.0;8.196;29.2;8.7
523;24/09/2022;15.5;12.8;8.2;20.5;19.1;16.6;92;80;66;0.8;6.130;25.3;8.8
523;25/09/2022;17.5;11.7;6.7;20.3;17.3;14.8;97;74;43;0.0;14.016;30.6;9.3
523;26/09/2022;17.3;12.4;7.9;19.6;17.4;15.6;94;75;50;0.0;9.260;32.5;9.7
523;27/09/2022;18.6;14.5;10.6;20.1;17.8;16.2;79;65;47;0.0;9.158;46.6;15.4
523;28/09/2022;22.1;16.1;11.9;22.1;19.0;16.7;79;61;32;0.0;16.643;46.0;15.3
523;29/09/2022;16.2;12.6;9.6;18.8;17.5;16.1;86;71;53;0.6;9.043;47.2;14.1
523;30/09/2022;15.7;11.4;9.4;17.8;15.8;14.5;99;85;65;4.4;8.614;33.2;11.3
523;01/10/2022;24.4;15.2;7.1;21.3;16.4;12.7;97;66;32;0.0;18.234;17.8;5.2
523;02/10/2022;25.4;16.8;9.3;22.3;17.8;14.3;91;66;33;0.0;18.020;20.7;6.8
523;03/10/2022;28.5;18.3;10.2;23.6;19.0;15.4;93;62;21;0.0;18.117;27.0;7.3
523;04/10/2022;28.8;20.2;11.8;24.2;19.9;16.6;71;46;20;0.0;16.807;19.4;7.0
523;05/10/2022;24.7;17.6;12.3;22.9;19.7;17.2;85;64;35;0.0;16.118;34.1;11.2
523;06/10/2022;22.9;16.6;11.3;22.7;19.2;16.6;95;70;48;0.0;15.360;25.3;7.5
523;07/10/2022;23.5;17.4;12.9;22.4;19.4;17.1;94;70;44;0.0;15.497;31.3;10.8
523;08/10/2022;20.9;15.9;11.3;22.1;19.3;17.7;97;79;50;0.0;9.375;23.7;6.7
523;09/10/2022;22.3;15.4;8.2;21.3;18.3;15.6;100;75;47;0.0;14.630;25.7;7.0
523;10/10/2022;20.9;16.6;13.0;20.7;18.8;17.4;100;79;59;3.4;9.182;23.7;7.0
523;11/10/2022;21.0;15.9;13.3;21.6;18.7;17.1;98;88;58;0.0;9.148;28.9;5.5
523;12/10/2022;20.9;16.1;11.9;21.6;18.8;17.0;95;78;49;0.0;13.111;24.3;7.4
523;13/10/2022;25.2;16.1;9.0;21.0;17.8;15.0;96;70;30;0.0;13.131;34.5;7.5
523;14/10/2022;24.8;17.3;10.4;22.0;18.6;15.8;95;66;41;0.0;15.599;14.8;5.4
523;15/10/2022;24.2;17.3;10.0;21.3;18.3;15.6;87;61;40;0.0;15.489;26.4;6.4
523;16/10/2022;25.3;19.6;14.1;21.3;19.0;16.7;85;56;34;0.0;10.917;45.8;8.2
523;17/10/2022;22.2;17.6;14.6;20.3;18.9;17.8;100;85;59;1.8;7.526;27.0;9.0
523;18/10/2022;22.7;18.6;15.3;20.4;18.5;17.2;100;82;60;0.0;10.093;42.4;14.2
523;19/10/2022;26.4;19.4;13.4;20.4;18.6;17.2;98;67;26;0.2;5.903;64.4;16.4
523;20/10/2022;22.4;16.3;10.9;19.3;17.4;15.4;91;68;40;0.0;6.953;49.6;9.3
523;21/10/2022;20.4;15.5;13.1;18.7;17.3;16.1;89;73;48;0.0;5.814;36.3;6.4
523;22/10/2022;23.8;17.4;11.4;20.0;17.3;14.9;93;65;36;0.2;13.212;47.4;10.4
523;23/10/2022;23.1;19.2;13.8;20.1;18.1;16.6;66;46;24;0.0;11.356;68.9;13.7
523;24/10/2022;20.4;15.5;10.8;19.2;17.1;15.4;73;56;38;0.0;9.439;34.4;6.3
523;25/10/2022;26.8;17.6;12.7;20.0;17.5;15.8;86;60;22;0.0;9.104;56.6;13.3
523;26/10/2022;23.0;17.4;13.1;19.9;17.6;15.7;77;62;46;0.0;11.010;26.9;8.1
523;27/10/2022;25.9;19.6;15.7;19.2;17.9;16.7;79;54;24;0.0;5.172;38.8;13.2
523;28/10/2022;23.5;18.9;14.6;20.2;18.2;16.5;78;60;43;0.0;9.751;31.4;12.4
523;29/10/2022;21.4;17.4;15.1;19.4;17.9;16.9;86;66;47;0.0;8.977;44.3;15.5
523;30/10/2022;17.3;14.4;11.8;18.9;17.1;16.1;100;89;71;0.6;6.169;;
523;31/10/2022;16.7;13.8;11.0;16.6;16.0;15.4;100;90;71;0.0;2.602;;
523;01/11/2022;19.9;13.1;8.1;17.7;15.4;13.5;100;77;44;0.0;12.374;30.2;6.8
523;02/11/2022;16.9;10.9;4.8;16.6;14.4;12.4;100;79;57;0.0;10.289;21.7;6.3
523;03/11/2022;18.4;12.7;8.4;16.4;14.7;13.9;95;78;52;0.2;6.025;57.6;12.8
523;04/11/2022;13.3;9.1;4.5;14.1;12.9;11.5;100;79;49;0.8;8.389;58.7;16.3
523;05/11/2022;17.6;9.8;3.7;14.2;12.1;10.0;99;72;33;0.2;12.180;31.1;9.0
523;06/11/2022;18.5;11.1;3.9;14.7;12.2;9.9;88;66;38;0.0;9.593;39.9;8.3
523;07/11/2022;13.9;10.3;5.0;13.9;12.1;10.0;100;78;60;0.0;9.500;25.2;6.6
523;08/11/2022;15.9;12.8;9.1;14.5;13.1;11.6;88;76;65;0.0;5.768;29.7;8.3
523;09/11/2022;17.7;12.5;7.4;15.3;13.8;12.4;99;76;49;0.0;4.706;42.8;9.1
523;10/11/2022;17.3;10.1;4.6;14.3;12.1;10.2;99;79;44;0.0;11.308;20.8;7.0
523;11/11/2022;16.9;10.6;4.6;14.1;11.8;9.8;98;80;55;0.0;10.012;43.8;13.3
523;12/11/2022;15.4;11.9;9.6;15.0;13.1;11.8;99;88;68;0.0;7.106;47.8;17.6
523;13/11/2022;16.2;11.4;8.0;14.5;12.7;11.2;100;84;63;0.0;10.252;37.4;10.7
523;14/11/2022;13.6;10.7;8.5;14.2;12.6;11.8;100;93;82;0.8;5.388;23.3;6.5
523;15/11/2022;16.0;11.7;8.9;13.2;12.2;11.5;100;85;60;0.6;2.625;45.8;9.3
