Fecha;Lardero;Tañida;Cofín;Vadillo;Medialijo;Hormilla
14/04/2014;;;;;
17/05/2014;;0;0;0;
22/04/2014;;1;0;0;
23/04/2014;;0;0;0;
25/04/2014;0;0;0;0;
28/04/2014;0;1;1;0;0
30/04/2014;0;0;1;0;0
02/05/2014;0;3;0;0;0
05/05/2014;1;0;0;1;0
07/05/2014;1;0;0;2;0
09/05/2014;5;1;0;1;0
12/05/2014;0;0;0;0;0
14/05/2014;1;1;0;1;0
16/05/2014;0;0;1;2;0
19/05/2014;2;0;0;0;0
21/05/2014;1;0;0;0;0
23/05/2014;1;0;0;0;1
26/05/2014;0;0;0;0;0
28/05/2014;0;0;0;0;2
30/05/2014;3;0;0;0;0
02/06/2014;1;0;0;0;0
04/06/2014;1;0;0;0;0
06/06/2014;2;0;0;0;0
10/06/2014;3;0;0;0;0
11/06/2014;1;0;0;0;0
13/06/2014;2;0;0;0;0
16/06/2014;2;2;0;0;0
18/06/2014;1;0;1;0;0
20/06/2014;;0;0;1;0
23/06/2014;3;0;0;0;0
25/06/2014;6;1;0;0;1
27/06/2014;0;2;0;0;2
30/06/2014;0;0;0;2;0
02/07/2014;0;0;0;0;0
04/07/2014;0;0;0;0;0
07/07/2014;0;1;0;0;0
09/07/2014;0;0;0;0;0
11/07/2014;0;0;0;0;1
14/07/2014;0;0;0;1;0
16/07/2014;1;1;0;0;1
17/07/2013;1;0;0;0;1
18/07/2014;0;0;0;0;0
21/07/2014;0;0;3;0;0
23/07/2014;0;0;0;0;0
25/07/2014;0;0;0;0;0
28/07/2014;1;0;0;1;1
30/07/2014;3;0;0;0;1
01/08/2014;5;0;0;0;
04/08/2014;4;0;0;0;
06/08/2014;5;0;0;0;
08/08/2014;5;0;0;0;
11/08/2014;5;0;0;0;
13/08/2014;;0;0;0;
15/08/2014;;;;;
18/08/2014;;0;0;0;
