Fecha;Lardero;Entrena;Hormilla;Nájera;Tañida;Depositos;Sazar;Cofín abando;RIA Blanquilla;Recueja;San Juan;Cofin Ad;Vadillo
19/04/2021;0;0;0;0;0;9;0;0;0;0;0;0;1
21/04/2021;1;0;0;0;0;2;0;0;0;0;0;0;0
23/04/2021;0;0;0;0;;4;0;0;0;0;0;0;2
26/04/2021;0;0;0;0;0;3;0;0;0;0;0;0;4
28/04/2021;0;0;0;0;0;2;0;0;0;0;0;0;3
30/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;1
01/05/2020;;;;;;;;;;;;;
03/05/2021;0;0;0;0;0;1;0;0;0;0;0;0;1
05/05/2021;0;0;0;0;1;4;0;1;0;0;0;0;2
07/05/2021;0;0;0;0;0;3;2;0;1;0;0;0;2
10/05/2021;4;0;0;0;0;3;2;1;1;0;0;0;1
12/05/2021;0;0;0;0;0;6;1;2;1;0;0;0;3
14/05/2021;1;1;0;0;0;6;0;0;1;0;0;0;1
17/05/2021;0;2;0;0;0;5;0;2;2;0;0;1;1
19/05/2021;1;0;0;1;0;5;0;0;1;0;0;0;1
21/05/2021;0;0;1;1;0;4;0;1;3;0;2;0;1
24/05/2021;1;0;0;0;0;4;0;0;1;0;1;1;1
26/05/2021;1;0;1;0;0;6;0;1;0;0;0;0;0
28/05/2021;0;1;0;0;3;12;1;0;4;0;0;0;7
30/05/2021;2;0;0;0;0;9;0;5;3;1;0;1;13
02/06/2021;0;0;1;1;0;4;0;1;2;0;0;0;5
04/06/2021;1;0;1;0;0;2;0;0;1;0;0;0;3
07/06/2021;0;1;0;0;0;1;1;1;2;1;0;0;1
09/06/2021;1;1;0;0;0;2;0;1;1;0;0;1;1
11/06/2021;0;0;0;0;2;4;0;4;2;0;0;1;0
14/06/2021;0;0;0;0;5;5;0;2;1;0;0;0;1
16/06/2021;1;0;0;0;1;3;0;0;0;0;0;0;0
18/06/2021;0;0;0;0;1;1;0;0;2;0;0;3;0
21/06/2021;0;0;0;0;1;3;0;0;4;0;0;5;4
23/06/2021;0;0;0;0;0;2;0;0;0;0;0;0;0
25/06/2021;0;0;0;0;0;3;0;0;0;0;0;0;0
28/06/2021;0;0;0;0;2;4;0;0;1;0;0;0;0
30/06/2021;0;0;0;0;0;5;0;0;0;0;0;0;0
02/07/2021;0;0;0;0;0;1;0;2;1;1;1;0;1
05/07/2021;0;0;0;0;0;4;0;1;0;0;0;0;0
07/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
09/07/2021;1;0;0;0;1;0;0;0;0;0;0;0;0
12/07/2021;0;0;0;0;1;4;0;0;0;0;0;1;0
14/07/2021;0;0;0;0;0;3;0;0;0;0;0;1;0
16/07/2021;1;0;0;0;0;1;0;0;0;0;0;0;0
19/07/2021;2;0;0;0;1;2;1;0;0;0;0;0;0
21/07/2021;1;1;0;0;1;4;0;6;2;0;0;0;0
23/07/2021;0;0;0;0;0;6;0;3;1;0;0;1;0
26/07/2021;2;1;0;0;2;4;0;6;1;0;0;0;0
28/07/2021;0;1;0;0;2;3;0;0;0;0;0;0;0
30/07/2021;0;0;0;0;1;1;0;0;0;0;0;0;0
02/08/2021;2;0;0;0;1;2;0;0;0;0;0;1;0
04/08/2021;0;0;0;0;1;5;0;0;0;0;0;0;0
06/08/2021;0;0;0;0;2;3;0;0;1;0;0;1;0
09/08/2021;0;0;0;0;1;3;0;0;0;0;0;1;0
11/08/2021;0;0;0;0;1;1;0;1;0;0;0;1;0
13/08/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
16/08/2021;0;0;0;0;1;2;0;0;0;0;0;1;0
18/08/2021;0;0;0;0;2;2;0;0;0;0;0;1;0
20/08/2021;0;0;0;0;1;1;0;1;0;0;0;1;0
23/08/2021;0;0;0;0;2;1;0;1;0;0;0;0;0
25/08/2021;0;0;0;0;0;1;0;0;0;0;0;0;1
27/08/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
30/08/2021;0;0;0;0;0;0;0;0;0;0;0;0;1
01/09/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
03/09/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
06/09/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
10/09/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
