Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
521;18/12/2010;5.3;1.6;-1.8;2.6;1.0;0.4;90;80;65;0.0;8.577;29.1;9.8
521;19/12/2010;4.8;0.0;-3.7;1.9;0.8;0.3;100;91;77;0.0;6.072;17.6;3.7
521;20/12/2010;8.9;2.6;-2.9;3.0;1.1;0.3;100;82;58;0.0;7.852;20.2;5.3
521;21/12/2010;6.9;4.5;1.8;4.9;3.4;1.9;100;95;74;3.2;2.516;37.3;12.2
521;22/12/2010;14.1;8.6;4.8;8.4;6.3;4.5;100;88;55;1.2;5.306;43.1;13.1
521;23/12/2010;7.7;4.9;2.4;6.8;5.4;3.7;100;90;82;3.7;2.447;39.7;20.7
521;24/12/2010;4.1;2.2;0.8;3.7;2.8;2.1;96;84;74;0.2;2.886;43.5;22.7
521;25/12/2010;2.5;0.0;-3.3;2.6;1.6;0.8;97;78;56;0.0;7.507;29.7;12.9
521;26/12/2010;5.3;-1.0;-6.3;0.8;0.2;-0.1;85;62;27;0.0;9.069;35.4;11.7
521;27/12/2010;3.3;-0.5;-4.4;0.0;-0.2;-0.5;83;66;47;0.0;7.687;15.6;4.5
521;28/12/2010;9.4;3.2;-1.4;0.1;-0.1;-0.2;85;63;45;0.0;7.547;17.9;4.8
521;29/12/2010;8.5;3.5;-0.5;3.9;1.5;0.1;87;70;49;0.0;6.980;16.4;3.9
521;30/12/2010;8.4;5.1;2.3;4.4;2.9;1.4;96;86;73;0.0;3.729;42.3;18.7
521;31/12/2010;9.3;6.2;3.3;6.9;4.7;3.6;100;90;79;0.0;6.081;26.8;8.0
521;01/01/2011;11.2;7.2;5.0;7.4;5.8;4.7;100;88;67;0.0;6.413;22.3;7.9
521;02/01/2011;9.1;6.5;3.0;7.0;5.9;4.5;93;85;70;0.0;3.819;35.5;15.6
521;03/01/2011;5.8;2.8;0.4;5.2;3.6;2.5;93;79;61;0.0;7.467;35.1;13.3
521;04/01/2011;7.3;2.8;-0.1;5.4;3.5;2.2;100;89;74;1.0;3.514;14.6;4.4
521;05/01/2011;5.5;3.6;2.5;5.4;4.4;3.6;100;100;98;3.9;1.670;18.6;3.5
521;06/01/2011;12.6;8.2;4.6;8.4;6.3;4.7;100;96;79;0.4;3.456;15.1;4.0
521;07/01/2011;16.2;12.5;8.7;9.6;8.1;6.6;87;67;41;0.0;3.266;32.0;10.4
521;08/01/2011;16.0;11.7;8.5;9.5;7.7;6.5;81;64;38;0.0;5.330;34.2;11.9
521;09/01/2011;10.8;7.4;5.7;8.3;7.3;6.5;92;82;61;0.0;4.410;20.7;6.3
521;10/01/2011;9.5;5.5;2.3;8.8;6.3;4.2;98;84;64;0.0;7.760;16.2;3.7
521;11/01/2011;13.5;9.4;4.2;9.3;7.0;4.9;91;78;60;0.0;8.436;46.8;15.8
521;12/01/2011;13.6;9.9;5.2;10.4;8.4;6.7;98;84;68;0.0;5.126;26.0;9.7
521;13/01/2011;12.1;6.8;3.3;9.1;6.4;4.5;100;89;69;0.0;8.538;19.2;4.8
521;14/01/2011;13.3;6.8;2.5;8.8;5.5;2.9;97;83;58;0.0;9.618;15.9;4.1
521;15/01/2011;10.3;4.9;1.1;8.3;5.0;2.7;100;88;67;0.0;9.470;13.6;3.4
521;16/01/2011;4.1;2.7;-0.5;5.8;4.5;3.1;100;100;98;0.0;2.098;13.3;3.9
521;17/01/2011;11.3;5.1;-0.7;7.9;4.7;2.4;100;91;70;0.0;8.650;19.7;4.3
521;18/01/2011;9.7;6.6;2.6;7.4;5.1;2.8;97;87;76;0.0;5.631;12.9;2.4
