Fecha;Lardero;Tañida;Cofín;Vadillo;Hormilla
18/04/2016;;0;0;0;
20/04/2016;;0;0;0;
22/04/2016;;0;0;0;0
25/04/2016;0;0;0;0;0
27/04/2016;0;0;0;0;0
29/04/2016;0;0;0;0;0
02/05/2016;0;0;0;0;0
04/05/2016;0;0;0;0;0
06/05/2016;0;0;0;0;0
09/05/2016;0;0;1;2;0
11/05/2016;0;0;1;1;0
13/05/2016;1;0;1;0;0
16/05/2016;1;0;0;3;0
18/05/2016;3;0;1;17;0
20/05/2016;3;0;3;19;0
23/05/2016;3;0;3;6;0
25/05/2016;2;0;4;4;5
27/05/2016;1;0;3;2;1
03/05/2016;1;0;2;1;3
01/06/2016;0;0;1;1;1
03/06/2016;1;0;6;3;2
06/06/2016;3;0;8;0;2
08/06/2016;;0;3;1;3
10/06/2016;;0;2;1;1
13/06/2016;7;0;3;3;
15/06/2016;;0;0;0;7
17/06/2016;;0;0;0;
20/06/2016;;0;0;0;
22/06/2016;0;0;0;1;
24/06/2016;;0;0;1;
27/06/2016;0;0;1;0;5
29/06/2016;;0;1;0;
01/07/2016;;0;0;0;
04/07/2016;;0;0;0;
06/07/2016;7;0;0;0;4
08/07/2016;;0;0;0;
11/07/2016;;0;0;0;
13/07/2016;0;0;3;1;0
15/07/2016;;0;2;2;
18/07/2016;;0;0;0;
20/07/2016;2;0;1;0;
22/07/2016;0;0;0;0;
25/07/2016;;0;0;0;
27/07/2016;2;0;0;0;2
29/07/2016;;0;0;0;
01/08/2016;2;0;0;0;1
03/08/2016;;0;0;0;
05/08/2016;;0;0;0;
08/08/2016;;0;0;0;2
10/08/2016;;0;0;0;
12/08/2016;4;0;0;0;3
15/08/2016;;0;0;0;
17/08/2016;2;0;0;0;
19/08/2016;;0;0;0;2
22/08/2016;;0;0;1;
24/08/2016;2;0;0;0;
26/08/2016;;0;0;0;6
29/08/2016;4;0;0;1;
31/08/2016;;0;0;0;
02/09/2016;1;0;0;0;
05/09/2016;;0;0;0;2
07/09/2016;;0;0;0;
09/09/2016;;0;0;0;
12/09/2016;;0;0;0;1
14/09/2016;2;0;0;0;
16/09/2016;;0;0;0;
