Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
519;22/10/2008;11.2;8.9;3.9;14.3;12.9;10.4;95;81;56;7.2;5.942;19.3;4.9
519;23/10/2008;14.2;7.2;2.6;14.8;10.3;6.9;93;69;31;0.0;15.188;18.3;5.6
519;24/10/2008;16.1;7.4;-0.6;14.9;9.9;5.9;97;68;36;0.0;13.947;15.9;4.0
519;25/10/2008;21.9;11.1;4.3;15.5;10.8;7.3;87;60;25;0.0;14.332;19.9;5.2
519;26/10/2008;23.7;12.1;2.6;16.9;11.7;7.8;97;63;27;0.0;13.874;16.6;4.0
519;27/10/2008;18.0;11.0;3.2;15.5;11.6;8.3;98;70;36;9.6;8.689;20.4;4.0
519;28/10/2008;10.8;7.8;4.7;12.5;10.9;9.0;98;87;70;10.5;2.691;19.5;4.5
519;29/10/2008;7.9;5.5;3.1;9.8;8.3;7.1;88;78;62;0.2;6.943;30.8;8.8
519;30/10/2008;10.3;5.3;0.8;9.6;7.4;5.7;99;86;58;6.6;3.856;24.3;3.8
519;31/10/2008;8.9;6.7;5.3;9.4;8.7;8.2;100;97;91;7.2;1.751;22.4;3.9
519;01/11/2008;12.3;6.8;1.8;12.5;8.8;5.8;100;83;53;0.0;10.984;15.1;3.3
519;02/11/2008;7.9;5.9;4.2;8.0;7.3;6.7;95;87;73;41.4;0.808;27.0;6.1
519;03/11/2008;9.3;7.0;5.1;10.4;8.4;6.8;99;93;76;3.6;5.192;15.9;3.1
519;04/11/2008;11.6;6.4;0.6;12.7;8.8;5.7;99;84;56;0.0;10.685;13.2;3.1
519;05/11/2008;11.9;9.2;4.2;9.9;8.7;7.1;91;74;65;0.2;3.817;25.6;6.8
519;06/11/2008;13.9;9.6;2.6;11.9;9.4;7.3;97;72;49;0.0;7.152;18.9;5.4
519;07/11/2008;11.4;7.7;2.0;11.7;8.9;6.4;98;92;76;2.2;6.180;10.6;3.0
519;08/11/2008;15.0;8.6;4.4;13.7;10.2;8.1;99;83;49;0.0;10.502;16.2;3.4
519;09/11/2008;14.1;8.4;4.2;13.1;9.3;6.4;93;78;57;0.0;10.100;13.8;3.8
519;10/11/2008;9.1;6.2;2.4;11.3;9.1;6.8;99;96;86;0.0;5.758;13.8;2.3
519;11/11/2008;10.8;8.5;6.7;11.5;10.0;8.9;99;94;86;9.4;3.172;12.7;2.0
519;12/11/2008;10.7;7.9;4.4;10.7;9.2;7.9;95;81;63;0.6;5.419;24.8;6.1
519;13/11/2008;10.2;7.6;5.8;9.2;8.2;7.2;90;81;63;1.0;3.178;24.1;6.4
519;14/11/2008;11.7;8.4;4.8;11.2;8.6;6.4;94;79;57;0.0;7.426;21.2;4.3
519;15/11/2008;12.7;9.4;3.9;11.9;9.5;7.6;99;81;62;0.0;10.644;29.0;8.2
519;16/11/2008;13.4;8.6;3.2;11.7;8.7;6.7;99;82;65;0.0;10.990;28.7;8.7
519;17/11/2008;11.8;7.9;3.3;10.2;8.0;6.5;96;80;66;0.0;5.685;28.5;8.9
519;18/11/2008;11.5;9.5;8.0;9.7;8.6;7.8;88;74;67;0.0;2.685;26.5;7.7
519;19/11/2008;11.1;9.3;8.0;9.8;8.9;8.3;90;79;69;0.0;1.840;16.9;5.0
519;20/11/2008;11.9;8.8;5.6;10.4;8.5;7.1;94;80;69;0.0;3.781;18.6;4.9
519;21/11/2008;13.3;10.8;7.1;10.8;9.0;7.1;89;78;70;0.4;3.393;24.4;8.3
519;22/11/2008;12.5;11.0;8.7;10.7;10.0;9.3;90;81;73;0.4;1.898;34.4;11.2
519;23/11/2008;13.6;9.8;6.8;11.5;9.3;8.1;89;77;62;0.2;4.400;29.3;8.3
519;24/11/2008;10.6;6.4;2.9;8.5;7.5;6.0;93;78;64;10.1;3.941;34.2;13.4
519;25/11/2008;6.1;3.3;0.8;7.7;5.8;4.3;96;81;48;2.2;5.661;25.2;5.3
519;26/11/2008;6.2;1.6;-2.3;6.7;4.2;2.4;93;76;52;0.0;6.887;18.1;4.0
519;27/11/2008;5.9;2.8;-0.2;7.3;4.9;3.2;88;76;52;0.0;4.644;13.4;3.6
519;28/11/2008;7.8;3.1;-0.2;7.0;4.1;2.2;93;72;48;0.0;8.393;23.6;7.1
519;29/11/2008;8.1;4.0;-0.8;6.3;4.3;3.1;99;72;46;0.2;5.708;39.0;8.3
519;30/11/2008;7.0;4.4;-0.7;5.3;3.5;1.9;87;60;46;0.0;4.041;31.0;7.5
519;01/12/2008;4.4;1.8;-1.4;3.8;2.8;1.6;97;85;66;3.6;1.786;28.8;6.2
519;02/12/2008;6.8;3.7;2.0;5.7;3.8;2.7;93;77;61;1.8;5.581;28.5;8.6
519;03/12/2008;9.5;5.4;2.0;6.4;4.5;3.0;91;79;66;0.8;3.332;21.0;4.5
519;04/12/2008;9.1;6.3;3.7;7.5;5.9;4.7;97;83;69;0.0;2.844;19.8;3.4
519;05/12/2008;13.6;9.1;3.8;8.9;6.8;5.1;97;75;57;1.2;4.215;36.4;6.5
519;06/12/2008;9.7;6.3;0.9;8.4;6.3;4.1;99;91;79;8.6;3.182;13.5;3.1
519;07/12/2008;8.6;7.4;6.5;8.3;7.8;7.3;99;98;96;0.8;1.197;14.8;2.6
519;08/12/2008;9.9;8.4;7.8;9.4;8.5;7.8;99;98;95;8.0;1.312;13.1;2.8
519;09/12/2008;8.8;6.3;4.2;8.6;7.7;6.4;99;83;59;12.9;3.557;30.8;7.1
519;10/12/2008;4.3;2.5;0.8;6.4;5.1;3.8;95;86;69;6.0;1.646;21.8;7.4
519;11/12/2008;6.8;3.9;1.8;5.8;4.4;3.1;95;81;67;0.2;3.392;24.3;6.4
519;12/12/2008;9.7;5.5;1.8;7.5;5.1;3.5;91;77;57;0.0;8.095;25.5;6.9
519;13/12/2008;3.9;1.4;-0.9;4.5;3.5;2.6;100;95;78;10.1;1.162;16.5;3.8
519;14/12/2008;4.6;2.1;-0.2;4.1;2.8;1.7;99;84;65;0.6;3.555;29.0;6.4
519;15/12/2008;7.2;4.2;1.4;5.5;3.6;1.7;91;77;61;0.0;6.646;28.2;10.0
519;16/12/2008;8.6;7.0;5.0;6.2;5.2;4.4;86;77;68;0.4;2.221;33.2;12.5
519;17/12/2008;10.0;7.3;4.4;6.8;5.7;4.5;95;78;66;1.4;1.838;31.8;8.4
519;18/12/2008;8.3;7.0;5.6;7.0;6.1;5.3;86;80;71;0.4;2.377;27.0;9.4
519;19/12/2008;11.6;7.9;5.2;8.6;6.8;5.3;87;78;60;0.0;5.397;16.1;4.8
519;20/12/2008;12.5;6.5;2.2;8.8;6.1;4.1;95;78;55;0.0;8.459;21.4;6.2
519;21/12/2008;13.7;4.7;-1.1;7.6;4.4;2.3;100;74;43;0.0;8.657;13.1;3.0
519;22/12/2008;12.6;2.6;-3.0;6.7;3.5;1.7;98;80;52;0.0;8.717;8.6;2.6
519;23/12/2008;9.9;0.3;-5.0;5.6;2.6;1.3;100;89;54;0.0;8.971;11.6;2.3
519;24/12/2008;-0.5;-3.0;-5.0;4.3;2.5;1.4;100;100;98;0.2;3.963;10.5;2.2
519;25/12/2008;13.6;2.6;-5.9;5.3;2.8;1.1;100;80;36;0.2;9.064;29.8;5.6
519;26/12/2008;5.4;3.0;-0.1;4.9;3.6;2.7;99;82;68;1.2;2.782;22.9;5.9
519;27/12/2008;3.0;1.0;-0.6;4.6;3.2;2.6;100;98;91;4.8;5.472;;
519;28/12/2008;7.8;4.6;1.4;6.2;4.3;3.1;100;94;85;0.0;4.635;33.4;11.6
519;29/12/2008;4.2;3.7;2.2;5.1;4.5;3.7;100;97;87;0.2;1.103;12.4;4.1
519;30/12/2008;6.0;4.9;3.5;6.1;5.3;4.7;100;98;92;2.0;1.525;12.4;4.4
519;31/12/2008;11.4;6.6;3.4;7.7;6.0;4.4;98;89;67;0.0;5.104;32.1;5.3
519;01/01/2009;13.0;8.2;4.6;9.1;7.1;5.7;98;89;69;0.0;4.353;15.4;3.4
519;02/01/2009;13.3;8.1;2.0;9.9;7.5;5.9;99;83;61;0.2;7.621;23.9;4.6
519;03/01/2009;7.8;3.7;-0.7;8.1;5.8;3.6;100;94;77;0.0;6.199;20.3;3.6
519;04/01/2009;7.2;2.2;-2.2;6.3;4.2;2.5;96;80;59;0.2;9.051;23.9;6.4
519;05/01/2009;6.1;1.9;-3.5;4.9;3.1;1.5;95;77;63;0.0;4.815;26.7;5.7
519;06/01/2009;3.8;2.2;0.0;4.6;3.5;2.5;90;81;64;0.0;3.555;23.5;8.2
519;07/01/2009;0.3;-0.6;-2.3;2.5;1.8;1.5;94;79;65;0.0;2.045;24.7;8.4
519;08/01/2009;0.0;-1.5;-5.9;2.1;1.3;1.0;98;81;61;0.0;3.152;25.9;7.3
519;09/01/2009;1.2;-1.8;-6.2;2.5;1.3;0.7;99;91;73;0.2;5.394;11.6;2.7
519;10/01/2009;4.0;0.9;-1.6;4.7;2.7;1.5;100;95;83;2.0;3.364;9.2;1.7
519;11/01/2009;6.3;0.2;-3.0;4.2;1.9;0.8;98;76;53;0.0;9.679;17.1;5.3
519;12/01/2009;4.5;-1.3;-5.8;2.7;1.3;0.5;100;84;61;0.2;9.037;17.5;3.4
519;13/01/2009;6.0;0.9;-2.8;3.3;1.9;1.0;100;92;76;0.6;2.510;19.8;4.3
519;14/01/2009;6.7;2.7;-3.0;5.4;2.8;1.3;98;82;69;0.0;9.396;29.5;6.1
519;15/01/2009;7.6;0.4;-3.8;4.6;2.0;0.8;97;85;60;0.0;8.377;11.6;3.4
519;16/01/2009;6.8;0.5;-3.5;5.5;2.4;0.9;100;91;68;0.0;8.947;11.0;2.7
519;17/01/2009;11.3;3.0;-2.6;6.0;2.7;1.0;99;82;49;0.2;9.830;13.8;3.6
519;18/01/2009;11.8;4.2;-1.6;6.2;3.5;1.4;98;86;60;0.0;6.987;10.9;2.6
519;19/01/2009;12.9;6.8;1.5;7.7;5.4;3.9;97;86;65;7.4;5.051;40.4;4.5
519;20/01/2009;7.5;2.6;-1.4;6.2;4.0;2.1;100;80;41;0.8;10.103;29.1;6.6
519;21/01/2009;7.2;2.0;-2.1;4.9;2.6;1.4;92;78;58;0.6;6.582;20.5;5.6
519;22/01/2009;4.7;2.7;0.2;5.0;3.5;2.1;100;96;79;6.2;2.737;13.4;3.3
519;23/01/2009;19.1;14.4;4.3;9.9;7.4;4.3;100;66;44;0.2;5.162;55.6;13.2
519;24/01/2009;15.2;7.7;0.0;8.1;6.1;3.7;89;58;32;0.4;7.319;80.9;21.9
519;25/01/2009;10.4;2.9;-2.1;6.6;3.9;2.0;98;79;32;0.2;6.542;45.9;6.0
519;26/01/2009;6.7;3.4;-1.8;5.1;3.3;1.7;93;79;62;4.4;4.946;46.2;11.0
519;27/01/2009;10.0;6.0;3.4;6.6;4.8;3.9;96;84;72;12.9;2.996;28.3;8.3
519;28/01/2009;12.8;8.4;3.5;9.0;6.4;4.0;97;88;75;4.4;5.547;26.2;6.0
519;29/01/2009;16.5;10.6;7.3;12.0;8.7;6.8;98;87;64;2.2;9.311;22.4;4.2
519;30/01/2009;14.0;7.4;3.4;9.3;7.4;6.2;100;90;46;0.0;4.839;18.3;3.3
519;31/01/2009;10.3;8.2;3.1;9.0;7.4;6.5;97;84;70;5.8;3.248;32.2;7.1
519;01/02/2009;7.5;3.6;-0.7;6.5;4.8;3.6;99;86;61;0.0;1.944;27.8;6.8
519;02/02/2009;5.2;3.5;0.9;5.9;4.8;3.8;97;93;83;5.2;1.620;19.6;3.2
519;03/02/2009;8.2;4.1;0.2;8.8;5.7;3.5;97;81;60;0.0;10.262;17.1;4.2
519;04/02/2009;13.8;5.9;0.2;9.3;5.7;2.9;99;77;43;1.4;11.593;42.5;8.0
519;05/02/2009;12.5;6.8;2.2;8.5;5.9;4.4;98;69;40;0.0;8.473;26.2;6.6
519;06/02/2009;5.8;3.1;0.6;6.7;4.9;3.8;99;84;62;5.4;5.087;36.6;8.7
519;07/02/2009;5.5;2.7;0.6;5.7;3.9;2.5;94;78;63;1.8;7.347;39.9;14.0
519;08/02/2009;9.8;5.4;2.0;7.0;4.8;3.1;95;79;66;0.6;5.882;30.7;8.5
519;09/02/2009;14.9;10.4;4.6;9.5;7.0;4.7;92;70;48;0.0;9.320;57.3;9.0
519;10/02/2009;11.7;8.0;5.0;8.8;6.8;5.3;78;64;47;0.0;8.459;32.8;11.3
519;11/02/2009;11.2;8.3;6.0;8.2;6.2;4.9;77;63;50;0.2;6.806;49.8;18.4
519;12/02/2009;11.4;8.0;4.3;10.1;7.4;5.6;83;72;53;0.2;9.087;33.4;10.9
519;13/02/2009;11.6;5.1;-0.3;10.1;6.0;3.0;87;63;35;0.0;14.450;15.9;5.6
519;14/02/2009;12.6;5.0;-0.4;10.3;5.8;2.5;96;70;45;0.0;14.608;16.5;5.6
519;15/02/2009;10.1;2.8;-4.0;9.6;5.3;2.2;98;79;57;0.0;14.656;17.6;3.9
519;16/02/2009;12.1;4.0;-2.8;9.2;5.0;2.1;95;59;16;0.0;13.544;16.0;4.2
519;17/02/2009;12.1;5.1;-0.8;9.0;4.8;1.8;84;57;34;0.0;13.847;21.9;6.1
519;18/02/2009;10.9;6.2;0.4;9.3;5.8;3.4;94;69;53;0.0;15.143;29.8;11.5
519;19/02/2009;13.1;4.9;-1.0;10.6;5.7;2.3;98;72;40;0.0;15.411;17.5;5.2
519;20/02/2009;9.9;4.1;-0.4;8.3;5.1;2.5;90;76;56;0.0;11.806;24.6;7.0
519;21/02/2009;12.8;6.3;0.7;10.0;5.7;2.9;94;65;32;0.0;14.403;26.8;8.0
519;22/02/2009;8.3;6.1;2.5;7.4;5.6;4.1;81;75;69;0.0;4.527;28.2;10.3
519;23/02/2009;10.8;6.5;2.6;9.6;6.2;4.3;90;71;55;0.0;9.467;25.0;8.4
519;24/02/2009;10.3;5.9;1.4;10.3;6.5;4.3;91;77;60;0.0;12.748;37.0;11.2
519;25/02/2009;12.8;5.4;-0.4;11.2;6.4;2.8;95;75;49;0.0;16.476;25.0;6.5
519;26/02/2009;13.8;5.4;-0.1;11.2;6.5;2.9;96;81;55;0.0;13.003;13.4;4.1
519;27/02/2009;17.2;8.1;-0.2;12.8;7.3;3.2;96;62;25;0.0;17.292;19.9;5.0
519;28/02/2009;11.6;5.3;-0.9;9.6;6.3;3.5;92;77;54;0.0;8.495;16.9;3.4
519;01/03/2009;12.0;7.2;3.5;10.6;7.6;5.3;94;83;59;3.4;6.883;17.3;3.4
519;02/03/2009;8.4;7.0;5.8;8.7;7.8;7.0;91;85;75;0.0;3.376;17.9;5.4
519;03/03/2009;11.3;6.5;2.4;13.1;8.6;5.4;94;74;53;0.0;16.403;19.4;3.9
519;04/03/2009;7.2;3.8;0.8;7.9;6.4;4.4;97;84;54;9.0;4.929;35.6;7.3
519;05/03/2009;5.0;2.4;0.0;5.4;4.3;3.8;97;86;70;15.1;4.669;52.1;12.8
519;06/03/2009;9.6;4.4;0.9;7.0;5.0;3.3;96;86;75;6.4;6.576;31.5;10.3
519;07/03/2009;12.3;9.9;7.5;10.0;7.7;6.0;90;75;65;0.2;8.365;35.5;10.8
519;08/03/2009;14.8;10.5;6.7;13.8;9.7;7.2;86;72;53;0.0;16.557;24.3;6.5
519;09/03/2009;13.0;8.3;3.8;14.1;9.8;7.0;89;69;44;0.0;18.867;19.7;5.4
