Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
507;31/07/2024;38.2;26.8;16.2;35.2;30.1;25.6;82;49;19;0.0;27.485;28.4;4.6
507;30/07/2024;36.3;27.0;17.8;31.9;28.6;25.8;90;53;24;0.0;19.751;37.5;6.8
507;29/07/2024;34.8;26.2;21.6;32.8;29.4;26.9;83;50;27;0.6;17.593;29.1;6.6
507;28/07/2024;36.7;26.8;16.8;33.8;30.1;26.6;94;52;18;0.0;26.599;40.9;9.8
507;27/07/2024;33.6;23.1;17.0;34.7;30.2;26.4;87;66;39;0.2;25.408;33.9;5.4
507;26/07/2024;34.6;23.0;15.5;34.7;29.9;25.6;84;61;29;0.0;27.728;26.9;5.7
507;25/07/2024;32.3;22.9;17.3;34.6;29.9;25.9;84;63;35;0.0;28.208;29.5;6.8
507;24/07/2024;34.5;24.1;17.2;34.7;29.9;25.7;86;59;27;0.0;28.991;29.6;6.0
507;23/07/2024;36.1;24.8;14.4;34.5;29.3;24.7;88;53;21;0.0;29.622;24.6;5.1
507;22/07/2024;30.6;20.5;10.7;32.9;27.8;23.2;84;57;22;0.0;29.822;20.7;6.4
507;21/07/2024;23.9;18.1;13.4;31.9;28.2;25.2;77;60;39;0.0;26.260;29.8;7.3
507;20/07/2024;33.3;23.7;17.4;33.7;29.6;25.8;90;65;33;0.0;25.700;29.2;6.6
507;19/07/2024;38.7;26.5;17.8;34.4;29.6;25.3;86;55;13;0.0;28.985;27.3;6.2
507;18/07/2024;37.4;25.7;15.1;33.4;28.5;24.0;90;57;12;0.0;29.391;32.2;6.3
507;17/07/2024;32.8;22.4;12.2;31.6;27.0;22.8;94;60;28;0.0;28.498;28.3;4.9
507;16/07/2024;28.1;19.9;12.4;31.3;26.4;22.1;88;63;35;0.0;29.419;25.7;5.2
507;15/07/2024;30.6;20.7;13.5;29.0;25.8;23.5;90;68;32;0.2;17.205;37.9;6.1
507;14/07/2024;33.9;23.2;14.6;32.0;27.0;22.8;91;61;24;0.0;28.546;27.5;5.5
507;13/07/2024;26.7;20.1;14.9;29.0;25.8;22.7;81;57;36;0.0;23.053;21.2;4.9
507;12/07/2024;24.4;19.3;15.7;28.9;25.9;23.9;76;65;44;0.0;20.819;28.0;6.7
507;11/07/2024;34.8;24.8;17.5;30.9;26.9;23.1;88;61;28;0.0;26.600;29.2;5.7
507;10/07/2024;33.5;24.3;14.3;29.7;25.5;21.3;94;59;30;0.0;27.170;23.7;4.3
