Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
505;01/01/2005;9.3;6.5;4.1;7.4;6.9;6.4;91;83;72;0.2;8.528;37.0;12.8
505;02/01/2005;9.5;6.7;4.7;7.4;6.7;6.2;91;83;76;1.8;3.259;28.6;9.0
505;03/01/2005;8.9;5.5;0.3;7.5;6.8;6.1;92;82;61;0.2;7.322;18.6;6.0
505;04/01/2005;3.4;0.6;-2.3;6.1;5.0;4.2;95;93;88;0.2;4.151;12.4;2.9
505;05/01/2005;9.2;2.8;-2.0;5.5;4.7;3.9;95;84;65;0.2;8.537;34.4;11.8
505;06/01/2005;12.0;5.6;2.2;6.7;5.4;4.6;90;81;69;0.0;4.506;17.9;5.5
505;07/01/2005;6.0;1.9;-0.8;5.9;5.2;4.5;95;93;90;0.4;7.010;19.0;4.4
505;08/01/2005;5.5;1.6;-0.5;6.0;5.3;4.5;95;89;74;0.0;6.768;20.9;5.6
505;09/01/2005;1.0;-2.0;-4.4;4.5;3.6;3.2;95;91;74;0.0;1.681;21.2;5.0
505;10/01/2005;-0.6;-2.0;-3.0;3.7;3.3;3.0;95;91;84;0.0;3.333;18.1;6.0
505;11/01/2005;6.1;1.3;-3.6;3.8;3.2;2.5;94;83;67;0.2;6.954;36.1;11.3
505;12/01/2005;10.5;6.6;3.9;5.4;4.4;3.5;84;79;67;0.0;5.773;31.7;13.7
505;13/01/2005;11.8;8.0;4.3;6.8;5.9;5.3;89;82;68;0.0;5.235;28.9;9.3
505;14/01/2005;6.3;3.8;1.8;6.6;6.0;5.4;94;92;85;0.0;6.040;14.8;6.3
505;15/01/2005;2.6;1.6;0.5;6.1;5.5;5.2;95;94;93;0.2;1.965;19.3;7.2
505;16/01/2005;2.8;1.7;0.3;5.4;5.1;4.8;95;93;88;0.0;2.250;12.5;4.0
505;17/01/2005;6.7;1.6;-1.4;5.7;5.0;4.4;95;92;78;0.2;6.109;27.0;4.3
505;18/01/2005;7.8;4.0;2.2;5.1;4.5;4.0;89;81;71;2.6;3.476;45.6;19.4
505;19/01/2005;10.5;7.2;3.6;6.3;5.3;4.6;87;82;74;3.8;2.850;38.3;14.6
505;20/01/2005;12.4;9.1;3.3;7.5;6.7;6.1;91;80;65;0.0;4.726;31.2;7.7
505;21/01/2005;10.1;6.8;2.9;7.4;6.6;6.0;92;81;63;0.0;6.804;17.9;6.7
505;22/01/2005;9.4;7.2;5.7;7.4;6.9;6.4;89;78;63;0.0;2.899;17.1;4.6
505;23/01/2005;11.0;6.9;1.3;7.8;7.0;6.0;89;76;57;0.0;8.868;33.4;7.7
505;24/01/2005;5.5;1.9;-0.4;7.3;5.7;4.4;92;75;59;0.8;2.616;41.8;14.1
505;25/01/2005;2.5;-0.6;-2.2;4.4;3.8;3.6;94;85;67;1.0;8.413;51.4;18.0
505;26/01/2005;0.0;-2.7;-4.3;3.8;3.7;3.5;93;87;68;0.0;7.087;60.6;19.9
505;27/01/2005;-0.4;-3.0;-9.0;3.5;3.4;3.2;92;77;59;1.0;8.279;30.6;8.3
505;28/01/2005;3.3;-0.2;-7.6;3.2;3.1;3.0;86;81;68;5.4;5.747;26.5;8.5
505;29/01/2005;4.7;2.5;1.2;3.0;2.8;2.6;91;79;59;2.0;6.723;39.5;11.6
505;30/01/2005;3.2;1.3;0.3;2.6;2.5;2.5;90;72;45;0.0;11.019;47.4;13.6
505;31/01/2005;5.5;3.1;0.8;2.5;2.5;2.4;92;82;68;1.8;2.529;22.8;5.6
505;01/02/2005;6.6;4.5;2.6;3.2;2.6;2.4;91;87;79;1.2;1.872;26.4;7.6
505;02/02/2005;6.7;4.9;2.4;4.6;3.7;3.2;89;73;56;0.0;9.471;31.0;11.2
505;03/02/2005;5.0;3.7;1.8;4.5;3.9;3.3;90;84;78;0.8;3.090;13.0;4.4
505;04/02/2005;4.8;2.2;-2.0;4.3;3.6;2.9;90;79;56;0.0;3.903;14.5;3.9
505;05/02/2005;5.6;0.3;-4.3;3.7;2.6;1.5;93;84;64;0.2;9.296;9.7;2.3
505;06/02/2005;6.2;1.9;-2.2;3.6;2.8;2.0;93;88;77;1.2;3.840;30.6;8.1
505;07/02/2005;8.1;4.7;3.0;5.0;3.9;3.3;89;82;68;0.0;9.467;33.4;15.9
505;08/02/2005;10.3;4.9;0.0;5.7;4.3;3.1;92;81;60;0.0;12.269;28.2;9.3
505;09/02/2005;11.4;3.4;-2.0;5.6;4.0;2.6;93;79;45;0.0;12.556;10.7;4.1
505;10/02/2005;13.9;4.3;-2.2;5.6;3.9;2.4;92;71;27;0.2;12.944;22.3;5.1
505;11/02/2005;14.6;6.8;-0.8;6.0;4.4;2.9;87;63;29;0.0;11.336;25.6;7.5
505;12/02/2005;14.2;8.7;2.8;7.0;5.8;4.8;84;63;38;0.0;7.542;26.3;8.3
505;13/02/2005;11.3;8.6;3.1;7.1;6.5;5.9;83;67;51;4.8;6.437;56.8;19.8
505;14/02/2005;5.9;3.6;1.0;5.9;4.9;4.5;88;78;58;8.2;4.540;52.1;17.9
505;15/02/2005;3.9;2.2;0.3;4.5;4.1;3.5;91;81;65;5.6;5.124;45.8;19.1
505;16/02/2005;3.2;1.3;0.0;3.6;3.3;3.1;92;77;62;0.6;3.782;38.4;11.3
505;17/02/2005;1.9;0.9;0.1;3.1;2.9;2.6;90;78;70;0.6;2.091;31.0;11.0
505;18/02/2005;3.4;1.8;0.2;3.7;3.0;2.5;85;77;68;0.0;4.357;20.5;6.5
505;19/02/2005;8.0;4.3;2.2;4.6;4.0;3.4;89;81;66;1.6;2.858;27.6;10.5
